STATE,Pesticide Code,Pesticide Name,Average_Concentration
NH,032,Diuron,134.0
NH,967,Imidacloprid,124.0
NH,ABP,Alachlor ethanesulfonic acid (ESA),119.5
NJ,848,Phenothrin,45.0
NJ,ACG,Metolachlor ethanesulfonic acid (ESA),41.50086206896552
NJ,026,"2,4-D",33.20986666666666
NJ,807,Acetochlor,29.2
NJ,305,Atrazine,19.98990825688073
NY,ACG,Metolachlor ethanesulfonic acid (ESA),227.2752975517891
NY,ABP,Alachlor ethanesulfonic acid (ESA),152.90747465437786
NY,ABQ,Alachlor oxanilic acid (OA),134.1321791044776
NY,ACH,Metolachlor oxanilic acid (OA),117.50077909738718
NY,964,Desethyl atrazine,61.28105582524272
OH,ABO,Acetochlor oxanilic acid (OA),407.00264900662256
OH,ABN,Acetochlor ethanesulfonic acid (ESA),396.17434873949577
OH,305,Atrazine,388.4776537864078
OH,ACG,Metolachlor ethanesulfonic acid (ESA),359.17395130434784
OH,ACH,Metolachlor oxanilic acid (OA),219.6121762523191
OK,329,Picloram,20.8
OK,026,"2,4-D",10.05
OK,032,Diuron,7.0
OK,070,Piperonyl butoxide,0.0401636363636363
OK,058,MGK-264,0.03192
OR,758,Bentazon,290.0
OR,ACG,Metolachlor ethanesulfonic acid (ESA),165.96999999999997
OR,784,Desethyl-desisopropyl atrazine,135.0
OR,153,Bromacil,92.8
OR,964,Desethyl atrazine,66.9225
PA,ACG,Metolachlor ethanesulfonic acid (ESA),1249.2367924528303
PA,ACH,Metolachlor oxanilic acid (OA),208.6331914893617
PA,964,Desethyl atrazine,129.55099401197606
PA,305,Atrazine,102.59283928571428
PA,283,Metolachlor,75.87513402061856
RI,967,Imidacloprid,25.0
RI,ACG,Metolachlor ethanesulfonic acid (ESA),5.0
SC,ABP,Alachlor ethanesulfonic acid (ESA),915.2857142857144
SC,ACH,Metolachlor oxanilic acid (OA),805.1875
SC,ABQ,Alachlor oxanilic acid (OA),543.25
SC,ACG,Metolachlor ethanesulfonic acid (ESA),434.4323529411765
SC,129,Linuron,315.0
SD,ABP,Alachlor ethanesulfonic acid (ESA),295.6
SD,ABN,Acetochlor ethanesulfonic acid (ESA),144.66666666666666
SD,ACG,Metolachlor ethanesulfonic acid (ESA),41.4
SD,784,Desethyl-desisopropyl atrazine,25.0
SD,ABO,Acetochlor oxanilic acid (OA),17.0
TN,305,Atrazine,260.63299492385784
TN,807,Acetochlor,112.2590909090909
TN,964,Desethyl atrazine,111.09055670103092
TN,329,Picloram,110.0
TN,B48,Azoxystrobin,107.12903225806453
TX,227,Alachlor,122.0
TX,ACD,Imazethapyr,70.0
TX,B46,Clopyralid,63.48478947368421
TX,305,Atrazine,46.61872181069959
TX,329,Picloram,38.5
UT,ABP,Alachlor ethanesulfonic acid (ESA),169.25
UT,305,Atrazine,17.0
UT,964,Desethyl atrazine,17.0
UT,ACP,Sulfometuron methyl,11.47
UT,ACG,Metolachlor ethanesulfonic acid (ESA),5.0
VA,ADR,Triticonazole,832.0
VA,228,Cyanazine,239.0
VA,B48,Azoxystrobin,224.0
VA,784,Desethyl-desisopropyl atrazine,152.13636363636363
VA,ACG,Metolachlor ethanesulfonic acid (ESA),112.46799190283402
WA,784,Desethyl-desisopropyl atrazine,44.5
WA,ACC,Imazaquin,19.0
WA,ACD,Imazethapyr,18.0
WA,ABP,Alachlor ethanesulfonic acid (ESA),16.667241379310347
WA,B46,Clopyralid,13.496333333333334
WI,ABP,Alachlor ethanesulfonic acid (ESA),214.9993103448276
WI,ACG,Metolachlor ethanesulfonic acid (ESA),189.1456857142857
WI,784,Desethyl-desisopropyl atrazine,184.2125
WI,ACH,Metolachlor oxanilic acid (OA),68.6976842105263
WI,785,Desisopropyl atrazine,60.76057142857143
WV,102,Carbaryl,0.0005
WY,153,Bromacil,972.0
WY,329,Picloram,265.0
WY,AFB,Dimethenamid ethanesulfonic acid (ESA),108.5
WY,ACB,Imazapyr,46.24
WY,AEY,Dimethenamid oxanilic acid (OA),31.375
