STATE,Pesticide Code,Pesticide Name,Total_Concentration
CA,ACB,Imazapyr,47.2
CA,ACG,Metolachlor ethanesulfonic acid (ESA),202.8
CA,ACH,Metolachlor oxanilic acid (OA),49.0
CA,ACP,Sulfometuron methyl,72.14
CA,ACV,Methoprene,0.1039
CA,ADC,Prallethrin,4.377
CA,ADE,Esfenvalerate+Fenvalerate Total,4.1654
CA,ADG,Indoxacarb,27.241
CA,ADH,Cyphenothrin,0.0387
CA,ADI,Etofenprox,0.19949999999999998
CA,ADK,Imiprothrin,0.3076
CA,ADR,Triticonazole,0.029
CA,ADW,Triazole alanine (TA),4.6577
CA,ADX,Triazole acetic acid (TAA),3.1131
CA,AEC,Hydroprene,0.01
CA,AED,Hydroxy atrazine,42.5
CA,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",21.0861
CA,AEM,"Cyhalothrin, Lambda",5.8622
CA,AEN,"Cyhalothrin, Lambda epimer R157836",0.2223
CA,AEP,Clothianidin,22.2939
CA,AES,Methoxyfenozide,247.9717
CA,AEW,Famoxadone,43.1238
CA,AFF,Flumioxazin,0.006
CA,AFM,Flutriafol,7.7012
CA,AFO,Dinotefuran,13.2773
CA,AFS,Fenpyroximate,6.0056
CA,AFU,Propamocarb hydrochloride,247.6927
CA,AFW,Spiromesifen Total (parent + enol metabolite),0.1636
CA,AFX,Novaluron,10.5336
CA,AFZ,"2,6-DIPN",0.013
CA,AGA,Cyazofamid,48.6757
CA,AGG,Flonicamid,140.6725
CA,AGH,Emamectin benzoate,0.163
CA,AGJ,Fluoxastrobin,0.3564
CA,AGR,"2,4-dimethylphenyl formamide (2,4-DMPF)",1.1093
CA,AGT,Spiromesifen,4.761
CA,AGW,Chlorantraniliprole,135.9371
CA,AGX,Mandipropamid,348.429
CA,AGY,Spinetoram,19.4889
CA,AHB,Azadirachtin A,0.08099999999999999
CA,AHF,Imidacloprid urea,0.0971
CA,AHM,Spirotetramat,10.2745
CA,AHN,Disulfoton oxygen analog,0.005
CA,AHS,Flubendiamide,8.472
CA,AHT,Fluopicolide,95.4219
CA,AHW,Disulfoton sulfoxide oxygen analog,0.0347
CA,AHY,Ipconazole,0.055
CA,AJN,Clethodim sulfone,0.268
CA,AJO,Clethodim sulfoxide,0.33399999999999996
CA,AJR,Sethoxydim sulfoxide,0.028
CA,AJY,Spiroxamine,0.0439
CA,AJZ,Tebufenpyrad,0.01
CA,AKC,Ametoctradin,432.1282
CA,AKD,Penthiopyrad,38.6733
CA,AKG,Fluopyram,46.0571
CA,AKS,Acequinocyl,7.709
CA,AKU,Cyflufenamid,1.0964
CA,AKW,Fluxapyroxad,14.2244
CA,ALG,Thymol,0.329
CA,ALS,Sulfoxaflor,5.2383
CA,ALT,Terbufos sulfoxide,0.0024
CA,ALV,Spiromesifen alcohol,0.9747
CA,AMB,Cyantraniliprole,16.2336
CA,AMC,Cyflumetofen,2.7367
CA,AMF,Fenpropidin,0.0074
CA,AMG,Fenpyrazamine,0.0048000000000000004
CA,AMM,Proquinazid,0.0114
CA,ANC,Tolfenpyrad,3.171
CA,AND,Propamocarb,10.6359
CA,ANE,Flupyradifurone,31.5794
CA,ANF,Metrafenone,1.484
CA,ANH,Isofetamid,0.8608
CA,AOG,Imidacloprid desnitro,0.3867
CA,AOH,Hydroxy Acequinocyl,0.0028
CA,AOK,Imidacloprid olefin,0.0104
CA,B10,Hexythiazox,8.2468
CA,B13,Chlorfenapyr,5.606
CA,B16,Pyrimethanil,843.4717
CA,B21,Carfentrazone ethyl,0.005
CA,B22,Cyprodinil,191.3615
CA,B23,Fludioxonil,1138.4051
CA,B24,Pyriproxyfen,1.7237
CA,B28,5-Hydroxythiabendazole,0.5367
CA,B32,Forchlorfenuron,0.0353
CA,B41,Fenhexamid,85.157
CA,B42,Kresoxim-methyl,0.3534
CA,B43,Thiamethoxam,26.61
CA,B45,Benalaxyl,0.0096
CA,B46,Clopyralid,3.493
CA,B48,Azoxystrobin,277.4617
CA,B51,Acibenzolar S methyl,0.1215
CA,B52,Buprofezin,9.6682
CA,B53,Epoxiconazole,0.0244
CA,B56,Pyridaben,0.7266
CA,B57,Quinoxyfen,8.2257
CA,B58,Difenoconazole,19.4347
CA,B61,Pyraclostrobin,171.6306
CA,B63,Flutolanil,0.1038
CA,B64,Fenamidone,113.8846
CA,B68,Thiacloprid,5.5236
CA,B72,Tetraconazole,102.6272
CA,B73,Fenazaquin,0.3308
CA,B75,Boscalid,218.6471
CA,B77,Dimethomorph,146.1485
CA,B79,Trifloxystrobin,18.4813
CA,B80,Acetamiprid,64.0116
CA,B82,Bifenazate,25.7014
CA,B84,Etoxazole,3.5695
CA,B85,Spirodiclofen,10.5712
CA,F12,Pyriofenone,0.2221
CA,F53,Benzovindiflupyr,0.0039
CA,F56,Oxathiapiprolin,0.3244
CA,F96,Flutianil,0.024
CA,G03,Pydiflumetofen,1.8385
CA,G21,Mefentrifluconazole,0.28300000000000003
CO,011,Captan,66.1478
CO,022,DDT,0.091
CO,024,Diazinon,0.4512
CO,026,"2,4-D",0.069
CO,028,Dieldrin,1.033
CO,032,Diuron,1.2066999999999999
CO,033,Anilazine,0.19
CO,034,Endrin,0.007
CO,042,Azinphos methyl,17.1545
CO,046,Monuron,14.984
CO,047,Dicofol Total,0.64
CO,052,Malathion,5.5344
CO,055,Methoxychlor Total,3.5269999999999997
CO,057,Parathion methyl,1.028
CO,058,MGK-264,0.1708
CO,065,Parathion ethyl,0.036000000000000004
CO,069,Mevinphos Total,0.03
CO,070,Piperonyl butoxide,5.7940000000000005
CO,075,Pyrethrins,0.27
CO,083,O-Phenylphenol,6.8172
CO,090,Toxaphene,0.4449
CO,102,Carbaryl,19.6178
CO,104,Dodine,0.0333
CO,107,Ethion,0.015
CO,108,Tetradifon,0.054
CO,111,Ethoxyquin,4.5098
CO,114,Chlorpropham,468.3549
CO,115,Endosulfans Total,0.931
CO,124,Coumaphos,0.0055
CO,125,Diphenylamine (DPA),115.1663
CO,126,Folpet,0.025
CO,129,Linuron,2.4491
CO,134,DCPA,3.9676
CO,143,Heptachlor epoxide,0.0041
CO,144,Dicloran,57.0048
CO,149,Simazine,0.41319999999999996
CO,151,Trifluralin,3.8276
CO,153,Bromacil,0.002
CO,157,Thiabendazole,217.9762
CO,159,Methomyl,21.0655
CO,160,Chlorpyrifos,5.4337
CO,164,Chlorothalonil,10.862400000000001
CO,165,Phosmet,16.709
CO,166,Phosalone,0.017
CO,168,Aldicarb sulfone,0.008
CO,169,Aldicarb sulfoxide,0.068
CO,170,Methamidophos,8.7669
CO,171,Dimethoate,10.5869
CO,172,Chlordane trans,0.0066
CO,173,Chlordane cis,0.0147
CO,175,Ethoprop,0.002
CO,178,Omethoate,7.1835
CO,180,Carbofuran,0.3226
CO,181,Metribuzin,0.0409
CO,192,Benomyl,10.7232
CO,197,Methidathion,0.025
CO,200,EPTC,0.16849999999999998
CO,203,Phosphamidon,0.006
CO,204,Acephate,17.3125
CO,208,Malathion oxygen analog,0.039099999999999996
CO,216,Disulfoton sulfone,0.015
CO,219,Oxydemeton methyl,0.0493
CO,222,Permethrin cis,63.2376
CO,223,Permethrin trans,65.7209
CO,224,Profenofos,0.0053
CO,227,Alachlor,0.46
CO,230,Pendimethalin,0.1773
CO,231,Iprodione metabolite isomer,8.637
CO,235,Chlorpyrifos methyl,0.4289
CO,237,Phosmet oxygen analog,0.028
CO,239,Bensulide,0.046
CO,245,Oxydemeton methyl sulfone,0.025
CO,249,Prometryn,0.4794
CO,253,"Dicofol o,p'",0.2288
CO,254,"Dicofol p,p'",3.1559
CO,255,Cyromazine,4.0582
CO,264,Propiconazole,13.1022
CO,271,Fenarimol,0.005
CO,283,Metolachlor,24.0085
CO,297,Fluvalinate,0.0040999999999999995
CO,300,DDE,1.82
CO,304,Quintozene (PCNB),0.0633
CO,305,Atrazine,33.0049
CO,321,Hexachlorobenzene (HCB),0.0019
CO,324,Dichlobenil,11.2
CO,338,Dichlorvos (DDVP),0.2094
CO,351,Pentachloroaniline (PCA),0.0436
CO,370,Parathion oxygen analog,0.003
CO,382,1-Naphthol,1.5310000000000001
CO,512,3-Hydroxycarbofuran,0.1833
CO,529,Vinclozolin,7.9958
CO,536,Triazophos,0.0419
CO,537,Oxamyl,4.0535000000000005
CO,539,Permethrin Total,226.4317
CO,540,Pronamide,0.0615
CO,546,Fenvalerate,0.159
CO,556,Resmethrin,0.07500000000000001
CO,562,Pirimiphos methyl,0.0221
CO,593,Procymidone,0.021
CO,597,Cypermethrin,68.4449
CO,604,Imazalil,32.8492
CO,607,Metalaxyl/Mefenoxam,4.6316
CO,608,Triadimefon,0.046400000000000004
CO,611,Thiophanate methyl,0.8916999999999999
CO,612,Deltamethrin  (includes parent Tralomethrin),0.4188
CO,623,Propargite,11.012
CO,624,Tetrahydrophthalimide (THPI),24.168
CO,626,Iprodione,205.556
CO,638,Triadimenol,0.06509999999999999
CO,639,Fenbutatin oxide,1.2238
CO,651,Diflubenzuron,0.09609999999999999
CO,666,Carbendazim (MBC),6.802300000000001
CO,679,Myclobutanil,10.4601
CO,706,Disulfoton sulfoxide,0.008
CO,714,Esfenvalerate,0.281
CO,720,Norflurazon desmethyl,0.0337
CO,723,Formetanate hydrochloride,1.6199000000000001
CO,726,Thiobencarb,0.037000000000000005
CO,730,Ethephon,2.055
CO,740,Bensulide oxygen analog,0.031
CO,781,Cyfluthrin,9.2323
CO,804,Tricyclazole,0.1099
CO,808,Fenpropathrin,11.6823
CO,855,Isoprothiolane,0.1279
CO,877,Cymoxanil,0.098
CO,886,Fenpropimorph,0.015
CO,900,Endosulfan I,4.488
CO,901,Endosulfan II,3.7301
CO,902,Endosulfan sulfate,8.7081
CO,903,BHC alpha,0.0013
CO,906,"DDT p,p'",0.0503
CO,907,"DDT o,p'",0.0611
CO,908,"DDD p,p'",0.3489
CO,909,"DDD o,p'",0.0284
CO,910,"DDE p,p'",4.2571
CO,911,"DDE o,p'",0.013600000000000001
CO,915,Triforine,0.017
CO,930,Bifenthrin,6.2847
CO,964,Desethyl atrazine,50.0
CO,967,Imidacloprid,60.7979
CO,A30,Fenbuconazole,2.288
CO,A46,Oxadixyl,0.025
CO,A47,Oxamyl oxime,1.928
CO,A58,Tebuconazole,14.5338
CO,A61,Triflumizole,1.8827
CO,A82,Fipronil,0.028
CO,A84,Fipronil sulfone (MB46136),0.0077
CO,AAD,SD-31723,0.012
CO,ABB,Spinosad,3.4627
CO,ABC,Spinosad A,1.5124
CO,ABD,Spinosad D,0.2367
CO,ABF,Pymetrozine,0.1131
CO,ABG,Tebufenozide,0.745
CO,ACV,Methoprene,0.025
CO,ADC,Prallethrin,0.332
CO,ADE,Esfenvalerate+Fenvalerate Total,0.4687
CO,ADG,Indoxacarb,5.604
CO,ADI,Etofenprox,0.0025
CO,ADW,Triazole alanine (TA),0.9359
CO,ADX,Triazole acetic acid (TAA),0.2939
CO,AED,Hydroxy atrazine,72.7
CO,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",4.4047
CO,AEM,"Cyhalothrin, Lambda",0.3799
CO,AEP,Clothianidin,2.8935999999999997
CO,AES,Methoxyfenozide,37.6222
CO,AEW,Famoxadone,17.614
CO,AFF,Flumioxazin,0.0186
CO,AFM,Flutriafol,1.5954
CO,AFO,Dinotefuran,2.6953
CO,AFS,Fenpyroximate,1.3774
CO,AFU,Propamocarb hydrochloride,16.8892
CO,AFW,Spiromesifen Total (parent + enol metabolite),0.26580000000000004
CO,AFX,Novaluron,1.4998
CO,AGA,Cyazofamid,12.246
CO,AGG,Flonicamid,19.8861
CO,AGH,Emamectin benzoate,0.0033
CO,AGJ,Fluoxastrobin,0.0879
CO,AGR,"2,4-dimethylphenyl formamide (2,4-DMPF)",0.1362
CO,AGT,Spiromesifen,0.8977
CO,AGW,Chlorantraniliprole,26.8597
CO,AGX,Mandipropamid,59.0602
CO,AGY,Spinetoram,4.1982
CO,AHB,Azadirachtin A,0.032
CO,AHF,Imidacloprid urea,0.0135
CO,AHM,Spirotetramat,1.7881
CO,AHS,Flubendiamide,0.45439999999999997
CO,AHT,Fluopicolide,10.2623
CO,AJJ,Uniconazole,0.0033
CO,AJY,Spiroxamine,0.0036
CO,AKC,Ametoctradin,14.4951
CO,AKD,Penthiopyrad,2.1121
CO,AKG,Fluopyram,3.0683
CO,AKS,Acequinocyl,1.515
CO,AKU,Cyflufenamid,0.2211
CO,AKW,Fluxapyroxad,0.9754999999999999
CO,ALG,Thymol,0.08900000000000001
CO,ALS,Sulfoxaflor,0.9084
CO,ALV,Spiromesifen alcohol,0.5791
CO,AMB,Cyantraniliprole,1.6415
CO,AMC,Cyflumetofen,0.6696
CO,ANC,Tolfenpyrad,0.34450000000000003
CO,AND,Propamocarb,2.547
CO,ANE,Flupyradifurone,3.835
CO,ANF,Metrafenone,0.3534
CO,ANH,Isofetamid,0.11069999999999999
CO,AOG,Imidacloprid desnitro,0.047599999999999996
CO,AOK,Imidacloprid olefin,0.043
CO,B10,Hexythiazox,1.9606000000000001
CO,B13,Chlorfenapyr,0.5687
CO,B16,Pyrimethanil,139.9799
CO,B22,Cyprodinil,25.6901
CO,B23,Fludioxonil,147.7674
CO,B24,Pyriproxyfen,0.39849999999999997
CO,B41,Fenhexamid,20.909
CO,B42,Kresoxim-methyl,0.1496
CO,B43,Thiamethoxam,3.3052
CO,B44,Zoxamide,0.073
CO,B46,Clopyralid,0.656
CO,B48,Azoxystrobin,39.6983
CO,B52,Buprofezin,2.9159
CO,B53,Epoxiconazole,0.0017
CO,B56,Pyridaben,0.0521
CO,B57,Quinoxyfen,0.8929
CO,B58,Difenoconazole,2.4543
CO,B61,Pyraclostrobin,19.3341
CO,B63,Flutolanil,0.033
CO,B64,Fenamidone,12.7541
CO,B68,Thiacloprid,0.41400000000000003
CO,B72,Tetraconazole,0.7005
CO,B73,Fenazaquin,0.1978
CO,B75,Boscalid,32.679
CO,B77,Dimethomorph,22.838
CO,B79,Trifloxystrobin,1.8716
CO,B80,Acetamiprid,10.4518
CO,B82,Bifenazate,2.3597
CO,B84,Etoxazole,0.2908
CO,B85,Spirodiclofen,1.7791
CO,G03,Pydiflumetofen,0.24359999999999998
CT,967,Imidacloprid,10.0
CT,ACB,Imazapyr,4.2
DC,026,"2,4-D",3821.2
DC,032,Diuron,61.7
DC,102,Carbaryl,20.0
DC,149,Simazine,2148.68
DC,153,Bromacil,21.1
DC,180,Carbofuran,1.0
DC,264,Propiconazole,5.7
DC,283,Metolachlor,2102.3
DC,305,Atrazine,6702.45
DC,318,MCPA,236.9
DC,666,Carbendazim (MBC),41.0
DC,731,Triclopyr,307.7
DC,758,Bentazon,7.1
DC,780,Tebuthiuron,83.1
DC,785,Desisopropyl atrazine,2780.5
DC,942,Prometon,511.0
DC,964,Desethyl atrazine,6989.7
DC,967,Imidacloprid,347.6
DC,A25,Dichlorprop,7.5
DC,A42,Mecoprop (MCPP),71.0
DC,A58,Tebuconazole,10.6
DC,A82,Fipronil,5.800000000000001
DC,ABN,Acetochlor ethanesulfonic acid (ESA),152.0
DC,ABO,Acetochlor oxanilic acid (OA),60.0
DC,ABP,Alachlor ethanesulfonic acid (ESA),849.8
DC,ABQ,Alachlor oxanilic acid (OA),1.02
DC,ACB,Imazapyr,52.0
DC,ACD,Imazethapyr,12.0
DC,ACG,Metolachlor ethanesulfonic acid (ESA),17150.0
DC,ACH,Metolachlor oxanilic acid (OA),2264.2
DC,ACT,Siduron,8.6
DC,ADD,Dimethenamid,3.0
DC,AED,Hydroxy atrazine,25.2
DE,165,Phosmet,0.0807
DE,964,Desethyl atrazine,17.0
DE,AAX,Ethion mono oxon,0.0072
DE,ACB,Imazapyr,4.2
DE,ACG,Metolachlor ethanesulfonic acid (ESA),26.3
FL,002,Allethrin,0.167
FL,011,Captan,378.3172
FL,014,Chlordanes Total,0.0501
FL,022,DDT,0.135
FL,024,Diazinon,53.058099999999996
FL,026,"2,4-D",6687.548
FL,028,Dieldrin,3.4954
FL,032,Diuron,398.5885
FL,034,Endrin,0.0244
FL,042,Azinphos methyl,60.1117
FL,047,Dicofol Total,4.5416
FL,050,Lindane (BHC gamma),0.018000000000000002
FL,052,Malathion,65.0155
FL,055,Methoxychlor Total,9.981
FL,057,Parathion methyl,2.0088
FL,058,MGK-264,1.1029
FL,065,Parathion ethyl,0.058499999999999996
FL,069,Mevinphos Total,0.19
FL,070,Piperonyl butoxide,23.3072
FL,083,O-Phenylphenol,165.9767
FL,087,DDD (TDE),0.01
FL,090,Toxaphene,1.0548
FL,102,Carbaryl,143.8396
FL,104,Dodine,0.08080000000000001
