STATE,Pesticide Code,Pesticide Name,Average_Concentration
CA,124,Coumaphos,0.0024551724137931033
CA,125,Diphenylamine (DPA),0.3160877477477477
CA,126,Folpet,0.27514285714285713
CA,129,Linuron,0.03942471561530507
CA,130,Trichlorfon,0.0044
CA,134,DCPA,0.019110901591043016
CA,143,Heptachlor epoxide,0.00826153846153846
CA,144,Dicloran,0.29323232799245996
CA,149,Simazine,19.420658536585364
CA,151,Trifluralin,0.04706477093206951
CA,153,Bromacil,168.725
CA,157,Thiabendazole,0.293737216828479
CA,159,Methomyl,0.16995988505747128
CA,160,Chlorpyrifos,0.027883279044516828
CA,163,Fonofos,7.492
CA,164,Chlorothalonil,0.10424773082942097
CA,165,Phosmet,0.10060080710250202
CA,166,Phosalone,0.024666666666666667
CA,168,Aldicarb sulfone,0.03977777777777778
CA,169,Aldicarb sulfoxide,0.036375000000000005
CA,170,Methamidophos,0.038640542521994135
CA,171,Dimethoate,0.04143493975903614
CA,172,Chlordane trans,0.0034425
CA,173,Chlordane cis,0.0038405405405405406
CA,175,Ethoprop,0.008814285714285714
CA,178,Omethoate,0.027006742857142857
CA,180,Carbofuran,6.38070303030303
CA,181,Metribuzin,3.0353142857142856
CA,189,Phorate sulfone,0.014107142857142858
CA,190,Phorate sulfoxide,0.006525
CA,192,Benomyl,0.32240125000000003
CA,197,Methidathion,0.007155555555555556
CA,200,EPTC,0.07760555555555555
CA,203,Phosphamidon,0.024
CA,204,Acephate,0.08903544973544973
CA,206,Nonachlor trans,0.00295
CA,207,Nonachlor cis,0.00125
CA,208,Malathion oxygen analog,0.16704301075268815
CA,210,Carboxin,0.017
CA,216,Disulfoton sulfone,0.011428571428571429
CA,217,DEF (Tribufos),0.00145
CA,219,Oxydemeton methyl,0.046292592592592594
CA,222,Permethrin cis,0.33314053005817706
CA,223,Permethrin trans,0.36580751086281815
CA,224,Profenofos,0.006000000000000001
CA,226,Demeton-S sulfone,0.042
CA,227,Alachlor,1.07
CA,230,Pendimethalin,0.009523148148148149
CA,231,Iprodione metabolite isomer,0.366301775147929
CA,235,Chlorpyrifos methyl,0.02675769230769231
CA,236,Fenamiphos,0.007
CA,237,Phosmet oxygen analog,0.012242857142857142
CA,239,Bensulide,0.005557142857142858
CA,245,Oxydemeton methyl sulfone,0.0249125
CA,249,Prometryn,0.0493
CA,253,"Dicofol o,p'",0.03301176470588235
CA,254,"Dicofol p,p'",0.12314629629629628
CA,255,Cyromazine,0.026606249999999998
CA,264,Propiconazole,0.094373001310616
CA,271,Fenarimol,0.044750000000000005
CA,275,"Methoxychlor p,p'",0.04135
CA,283,Metolachlor,15.07731511627907
CA,297,Fluvalinate,0.0026478260869565217
CA,300,DDE,0.01794831013916501
CA,304,Quintozene (PCNB),0.015297826086956522
CA,305,Atrazine,7.8902375000000005
CA,318,MCPA,1.7
CA,321,Hexachlorobenzene (HCB),0.00030098039215686276
CA,338,Dichlorvos (DDVP),0.04714507042253521
CA,341,Propanil,49.58958333333334
CA,343,Monocrotophos,0.07122222222222223
CA,351,Pentachloroaniline (PCA),0.006485849056603774
CA,352,Mirex,0.0017
CA,382,1-Naphthol,0.25069684684684684
CA,387,Pentachlorobenzene (PCB),0.006204878048780488
CA,388,Pentachlorophenyl methyl sulfide,0.0069
CA,395,Diazinon oxygen analog,15.180454545454545
CA,512,3-Hydroxycarbofuran,0.004898901098901099
CA,529,Vinclozolin,0.10872561983471075
CA,536,Triazophos,0.019200000000000002
CA,537,Oxamyl,0.06389284253578732
CA,539,Permethrin Total,1.2851406720741598
CA,540,Pronamide,0.007584931506849315
CA,546,Fenvalerate,0.02105593220338983
CA,556,Resmethrin,0.029
CA,562,Pirimiphos methyl,0.00415
CA,580,Pirimicarb,0.013911111111111112
CA,593,Procymidone,0.24
CA,594,Napropamide,0.04435
CA,596,Norflurazon,73.93515000000001
CA,597,Cypermethrin,0.3376565777368905
CA,604,Imazalil,0.09164607366226547
CA,607,Metalaxyl/Mefenoxam,0.04601494661921708
CA,608,Triadimefon,0.045875
CA,611,Thiophanate methyl,0.026338028169014087
CA,612,Deltamethrin  (includes parent Tralomethrin),0.023226237623762375
CA,623,Propargite,0.24626491646778043
CA,624,Tetrahydrophthalimide (THPI),0.3257320772058824
CA,625,Oxadiazon,0.003675
CA,626,Iprodione,0.587400922818792
CA,633,Hexazinone,26.0
CA,638,Triadimenol,0.059425000000000006
CA,639,Fenbutatin oxide,0.16497118644067796
CA,651,Diflubenzuron,0.027615730337078648
CA,658,Bendiocarb,0.017
CA,661,Quinalphos,0.0014
CA,666,Carbendazim (MBC),0.02486457204767064
CA,678,Terbuthylazine,0.011
CA,679,Myclobutanil,0.03954135654261705
CA,699,Clofentezine,0.021631818181818183
CA,713,Oxyfluorfen,0.0024037037037037035
CA,714,Esfenvalerate,0.034628125
CA,720,Norflurazon desmethyl,0.014892307692307693
CA,722,Etridiazole,0.017
CA,723,Formetanate hydrochloride,0.06992278481012658
CA,726,Thiobencarb,42.3339
CA,730,Ethephon,0.16054929577464788
CA,731,Triclopyr,6.045833333333333
CA,736,Fluridone,0.0022785714285714284
CA,737,Oryzalin,0.021
CA,738,Terbutryn,0.0258
CA,740,Bensulide oxygen analog,0.007530434782608696
CA,745,Fenamiphos sulfone,0.013
CA,746,Fenamiphos sulfoxide,0.02075
CA,758,Bentazon,0.3725
CA,769,Azinphos methyl oxygen analog,0.02
CA,772,Chlorpyrifos oxygen analog,0.0022
CA,780,Tebuthiuron,1.4591739130434782
CA,781,Cyfluthrin,0.14929407216494844
CA,784,Desethyl-desisopropyl atrazine,600.3227272727273
CA,785,Desisopropyl atrazine,244.9111111111111
CA,804,Tricyclazole,0.04183636363636364
CA,807,Acetochlor,17.0
CA,808,Fenpropathrin,0.10312077519379845
CA,833,Prochloraz,0.055
CA,855,Isoprothiolane,0.02107272727272727
CA,872,Bupirimate,0.0024
CA,877,Cymoxanil,0.10386666666666666
CA,886,Fenpropimorph,0.007042857142857142
CA,900,Endosulfan I,0.027198558847077666
CA,901,Endosulfan II,0.028905991189427317
CA,902,Endosulfan sulfate,0.027558250825082505
CA,903,BHC alpha,0.001
CA,906,"DDT p,p'",0.005071428571428572
CA,907,"DDT o,p'",0.0025269005847953214
CA,908,"DDD p,p'",0.015399999999999999
CA,909,"DDD o,p'",0.004835483870967742
CA,910,"DDE p,p'",0.011622524271844662
CA,911,"DDE o,p'",0.002547058823529412
CA,915,Triforine,0.098
CA,930,Bifenthrin,0.019528160328879756
CA,942,Prometon,0.3654285714285714
CA,947,Tetramethrin,0.55
CA,948,Abamectin,0.068
CA,954,Hexaconazole,0.10644
CA,956,Penconazole,0.0165
CA,964,Desethyl atrazine,14.729642857142858
CA,967,Imidacloprid,0.028945606252640473
CA,A30,Fenbuconazole,0.03511868131868132
CA,A39,Lambda cyhalothrin total,0.18285714285714286
CA,A46,Oxadixyl,0.038380952380952384
CA,A47,Oxamyl oxime,0.0846448
CA,A48,Paclobutrazol,0.017666666666666667
CA,A54,RH 9129 (fenbuconazole metab.),0.041
CA,A55,RH 9130 (fenbuconazole metab.),0.01
CA,A58,Tebuconazole,0.08676997991967872
CA,A61,Triflumizole,0.0444494623655914
CA,A68,"1,2,4-Triazole",0.005
CA,A82,Fipronil,0.003
CA,AAB,Ivermectin,0.002
CA,AAD,SD-31723,0.012
CA,AAE,SD-33608,0.01
CA,ABB,Spinosad,0.03620710479573712
CA,ABC,Spinosad A,0.03301348973607038
CA,ABD,Spinosad D,0.013983229813664597
CA,ABF,Pymetrozine,0.015192307692307692
CA,ABG,Tebufenozide,0.022218750000000002
CA,ABH,Propiconazole I,0.032984848484848485
CA,ABI,Propiconazole II,0.04920454545454545
CA,ABN,Acetochlor ethanesulfonic acid (ESA),2.7
CA,ABO,Acetochlor oxanilic acid (OA),2.3
CA,ABP,Alachlor ethanesulfonic acid (ESA),2.8
CA,ABQ,Alachlor oxanilic acid (OA),1.02
CA,ACB,Imazapyr,3.630769230769231
CA,ACG,Metolachlor ethanesulfonic acid (ESA),28.97142857142857
CA,ACH,Metolachlor oxanilic acid (OA),24.5
CA,ACP,Sulfometuron methyl,5.152857142857143
CA,ACV,Methoprene,0.034633333333333335
CA,ADC,Prallethrin,0.11518421052631578
CA,ADE,Esfenvalerate+Fenvalerate Total,0.02603375
CA,ADG,Indoxacarb,0.09728928571428572
CA,ADH,Cyphenothrin,0.0387
CA,ADI,Etofenprox,0.01995
CA,ADK,Imiprothrin,0.10253333333333332
CA,ADR,Triticonazole,0.029
CA,ADW,Triazole alanine (TA),0.033269285714285717
CA,ADX,Triazole acetic acid (TAA),0.023584090909090912
CA,AEC,Hydroprene,0.01
CA,AED,Hydroxy atrazine,6.071428571428571
CA,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",0.018627296819787986
CA,AEM,"Cyhalothrin, Lambda",0.022038345864661652
CA,AEN,"Cyhalothrin, Lambda epimer R157836",0.01587857142857143
CA,AEP,Clothianidin,0.023869271948608137
CA,AES,Methoxyfenozide,0.11485488652153775
CA,AEW,Famoxadone,0.6160542857142858
CA,AFF,Flumioxazin,0.006
CA,AFM,Flutriafol,0.03130569105691057
CA,AFO,Dinotefuran,0.03637616438356164
CA,AFS,Fenpyroximate,0.02274848484848485
CA,AFU,Propamocarb hydrochloride,0.6535427440633246
CA,AFW,Spiromesifen Total (parent + enol metabolite),0.012584615384615385
CA,AFX,Novaluron,0.02335609756097561
CA,AFZ,"2,6-DIPN",0.013
CA,AGA,Cyazofamid,0.5178265957446808
CA,AGG,Flonicamid,0.15949263038548755
CA,AGH,Emamectin benzoate,0.014818181818181819
CA,AGJ,Fluoxastrobin,0.007425
CA,AGR,"2,4-dimethylphenyl formamide (2,4-DMPF)",0.014790666666666666
CA,AGT,Spiromesifen,0.04213274336283186
CA,AGW,Chlorantraniliprole,0.08096313281715306
CA,AGX,Mandipropamid,0.5231666666666667
CA,AGY,Spinetoram,0.030029121725731897
CA,AHB,Azadirachtin A,0.026999999999999996
CA,AHF,Imidacloprid urea,0.0029424242424242425
CA,AHM,Spirotetramat,0.020968367346938774
CA,AHN,Disulfoton oxygen analog,0.005
CA,AHS,Flubendiamide,0.042359999999999995
CA,AHT,Fluopicolide,0.14886411856474258
CA,AHW,Disulfoton sulfoxide oxygen analog,0.0043375
CA,AHY,Ipconazole,0.055
CA,AJN,Clethodim sulfone,0.134
CA,AJO,Clethodim sulfoxide,0.16699999999999998
CA,AJR,Sethoxydim sulfoxide,0.009333333333333334
CA,AJY,Spiroxamine,0.004877777777777778
CA,AJZ,Tebufenpyrad,0.01
CA,AKC,Ametoctradin,1.3015909638554217
CA,AKD,Penthiopyrad,0.107725069637883
CA,AKG,Fluopyram,0.04699704081632653
CA,AKS,Acequinocyl,0.2965
CA,AKU,Cyflufenamid,0.010855445544554455
CA,AKW,Fluxapyroxad,0.03951222222222222
CA,ALG,Thymol,0.041125
CA,ALS,Sulfoxaflor,0.03315379746835443
CA,ALT,Terbufos sulfoxide,0.0024
CA,ALV,Spiromesifen alcohol,0.017405357142857143
CA,AMB,Cyantraniliprole,0.12883809523809522
CA,AMC,Cyflumetofen,0.054734
CA,AMF,Fenpropidin,0.002466666666666667
CA,AMG,Fenpyrazamine,0.0024000000000000002
CA,AMM,Proquinazid,0.0057
CA,ANC,Tolfenpyrad,0.04732835820895522
CA,AND,Propamocarb,0.10326116504854368
CA,ANE,Flupyradifurone,0.07609493975903614
CA,ANF,Metrafenone,0.030285714285714284
CA,ANH,Isofetamid,0.06148571428571429
CA,AOG,Imidacloprid desnitro,0.0028226277372262773
CA,AOH,Hydroxy Acequinocyl,0.0028
CA,AOK,Imidacloprid olefin,0.0017333333333333333
CA,B10,Hexythiazox,0.0329872
CA,B13,Chlorfenapyr,0.03866206896551724
CA,B16,Pyrimethanil,0.4743935320584927
CA,B21,Carfentrazone ethyl,0.005
CA,B22,Cyprodinil,0.15008745098039217
CA,B23,Fludioxonil,0.38919832478632477
CA,B24,Pyriproxyfen,0.012224822695035461
CA,B28,5-Hydroxythiabendazole,0.004225984251968504
CA,B32,Forchlorfenuron,0.005883333333333333
CA,B41,Fenhexamid,0.18313333333333331
CA,B42,Kresoxim-methyl,0.0073625
CA,B43,Thiamethoxam,0.01777555110220441
CA,B45,Benalaxyl,0.0096
CA,B46,Clopyralid,0.13971999999999998
CA,B48,Azoxystrobin,0.10159710728670816
CA,B51,Acibenzolar S methyl,0.06075
CA,B52,Buprofezin,0.022124027459954235
CA,B53,Epoxiconazole,0.002711111111111111
CA,B56,Pyridaben,0.02270625
CA,B57,Quinoxyfen,0.014380594405594405
CA,B58,Difenoconazole,0.0340959649122807
CA,B61,Pyraclostrobin,0.05743995983935742
CA,B63,Flutolanil,0.012975
CA,B64,Fenamidone,0.3626898089171975
CA,B68,Thiacloprid,0.02391168831168831
CA,B72,Tetraconazole,0.6454540880503145
CA,B73,Fenazaquin,0.036755555555555555
CA,B75,Boscalid,0.05880771920387305
CA,B77,Dimethomorph,0.2652422867513612
CA,B79,Trifloxystrobin,0.021819716646989375
CA,B80,Acetamiprid,0.030337251184834123
CA,B82,Bifenazate,0.09345963636363636
CA,B84,Etoxazole,0.012886281588447655
CA,B85,Spirodiclofen,0.03293208722741433
CA,F12,Pyriofenone,0.031728571428571425
CA,F53,Benzovindiflupyr,0.00195
CA,F56,Oxathiapiprolin,0.05406666666666667
CA,F96,Flutianil,0.008
CA,G03,Pydiflumetofen,0.04968918918918919
CA,G21,Mefentrifluconazole,0.07075000000000001
CO,011,Captan,0.424024358974359
CO,022,DDT,0.011375
CO,024,Diazinon,0.0094
CO,026,"2,4-D",0.007666666666666667
CO,028,Dieldrin,0.01135164835164835
CO,032,Diuron,0.15083749999999999
CO,033,Anilazine,0.19
CO,034,Endrin,0.007
CO,042,Azinphos methyl,0.059771777003484315
CO,046,Monuron,7.492
CO,047,Dicofol Total,0.64
CO,052,Malathion,0.03790684931506849
CO,055,Methoxychlor Total,0.2074705882352941
CO,057,Parathion methyl,0.05410526315789474
CO,058,MGK-264,0.02135
CO,065,Parathion ethyl,0.009000000000000001
CO,069,Mevinphos Total,0.01
CO,070,Piperonyl butoxide,0.06510112359550563
CO,075,Pyrethrins,0.27
CO,083,O-Phenylphenol,0.05728739495798319
CO,090,Toxaphene,0.08898
CO,102,Carbaryl,0.07430984848484848
CO,104,Dodine,0.0333
CO,107,Ethion,0.005
CO,108,Tetradifon,0.027
CO,111,Ethoxyquin,0.17345384615384615
CO,114,Chlorpropham,1.9761810126582278
CO,115,Endosulfans Total,0.054764705882352945
CO,124,Coumaphos,0.00275
CO,125,Diphenylamine (DPA),0.3281091168091168
CO,126,Folpet,0.025
CO,129,Linuron,0.041510169491525424
CO,134,DCPA,0.0158704
CO,143,Heptachlor epoxide,0.00205
CO,144,Dicloran,0.2591127272727273
CO,149,Simazine,0.13773333333333332
CO,151,Trifluralin,0.030377777777777778
CO,153,Bromacil,0.002
CO,157,Thiabendazole,0.259186920332937
CO,159,Methomyl,0.14731118881118882
CO,160,Chlorpyrifos,0.024698636363636364
CO,164,Chlorothalonil,0.13578
CO,165,Phosmet,0.10710897435897436
CO,166,Phosalone,0.017
CO,168,Aldicarb sulfone,0.0026666666666666666
CO,169,Aldicarb sulfoxide,0.009714285714285715
CO,170,Methamidophos,0.038964
CO,171,Dimethoate,0.0846952
CO,172,Chlordane trans,0.0022
CO,173,Chlordane cis,0.0021
CO,175,Ethoprop,0.002
CO,178,Omethoate,0.06471621621621622
CO,180,Carbofuran,0.03226
CO,181,Metribuzin,0.013633333333333332
CO,192,Benomyl,0.46622608695652173
CO,197,Methidathion,0.008333333333333333
CO,200,EPTC,0.05616666666666666
CO,203,Phosphamidon,0.003
CO,204,Acephate,0.12366071428571429
CO,208,Malathion oxygen analog,0.0035545454545454543
CO,216,Disulfoton sulfone,0.015
CO,219,Oxydemeton methyl,0.008216666666666666
CO,222,Permethrin cis,0.26349
CO,223,Permethrin trans,0.27045637860082306
CO,224,Profenofos,0.00265
CO,227,Alachlor,0.46
CO,230,Pendimethalin,0.008865000000000001
CO,231,Iprodione metabolite isomer,0.2540294117647059
CO,235,Chlorpyrifos methyl,0.02680625
CO,237,Phosmet oxygen analog,0.007
CO,239,Bensulide,0.046
CO,245,Oxydemeton methyl sulfone,0.025
CO,249,Prometryn,0.04358181818181818
CO,253,"Dicofol o,p'",0.03268571428571428
CO,254,"Dicofol p,p'",0.11271071428571429
CO,255,Cyromazine,0.08634468085106384
CO,264,Propiconazole,0.09851278195488722
CO,271,Fenarimol,0.005
CO,283,Metolachlor,4.001416666666667
CO,297,Fluvalinate,0.0013666666666666664
CO,300,DDE,0.02426666666666667
CO,304,Quintozene (PCNB),0.00633
CO,305,Atrazine,6.60098
CO,321,Hexachlorobenzene (HCB),0.0002111111111111111
CO,324,Dichlobenil,11.2
CO,338,Dichlorvos (DDVP),0.026175
CO,351,Pentachloroaniline (PCA),0.003963636363636364
CO,370,Parathion oxygen analog,0.003
CO,382,1-Naphthol,0.11776923076923078
CO,512,3-Hydroxycarbofuran,0.015274999999999999
CO,529,Vinclozolin,0.21041578947368422
CO,536,Triazophos,0.00838
CO,537,Oxamyl,0.047688235294117656
CO,539,Permethrin Total,1.4703357142857143
CO,540,Pronamide,0.008785714285714286
CO,546,Fenvalerate,0.019875
CO,556,Resmethrin,0.037500000000000006
CO,562,Pirimiphos methyl,0.007366666666666667
CO,593,Procymidone,0.021
CO,597,Cypermethrin,0.3845219101123596
CO,604,Imazalil,0.08759786666666668
CO,607,Metalaxyl/Mefenoxam,0.028947499999999998
CO,608,Triadimefon,0.00928
CO,611,Thiophanate methyl,0.052452941176470584
CO,612,Deltamethrin  (includes parent Tralomethrin),0.019942857142857144
CO,623,Propargite,0.22941666666666669
CO,624,Tetrahydrophthalimide (THPI),0.2014
CO,626,Iprodione,0.7162229965156794
CO,638,Triadimenol,0.016274999999999998
CO,639,Fenbutatin oxide,0.17482857142857142
CO,651,Diflubenzuron,0.009609999999999999
CO,666,Carbendazim (MBC),0.02996607929515419
CO,679,Myclobutanil,0.03320666666666667
CO,706,Disulfoton sulfoxide,0.008
CO,714,Esfenvalerate,0.02341666666666667
CO,720,Norflurazon desmethyl,0.011233333333333333
CO,723,Formetanate hydrochloride,0.043781081081081086
CO,726,Thiobencarb,0.018500000000000003
CO,730,Ethephon,0.17125
CO,740,Bensulide oxygen analog,0.031
CO,781,Cyfluthrin,0.15647966101694916
CO,804,Tricyclazole,0.018316666666666665
CO,808,Fenpropathrin,0.11566633663366337
CO,855,Isoprothiolane,0.018271428571428574
CO,877,Cymoxanil,0.098
CO,886,Fenpropimorph,0.005
CO,900,Endosulfan I,0.026556213017751483
CO,901,Endosulfan II,0.02274451219512195
CO,902,Endosulfan sulfate,0.025994328358208956
CO,903,BHC alpha,0.0013
CO,906,"DDT p,p'",0.00314375
CO,907,"DDT o,p'",0.0021821428571428573
CO,908,"DDD p,p'",0.017445
CO,909,"DDD o,p'",0.0031555555555555555
CO,910,"DDE p,p'",0.009397571743929361
CO,911,"DDE o,p'",0.004533333333333334
CO,915,Triforine,0.017
CO,930,Bifenthrin,0.023105514705882353
CO,964,Desethyl atrazine,50.0
CO,967,Imidacloprid,0.07895831168831169
CO,A30,Fenbuconazole,0.05580487804878048
CO,A46,Oxadixyl,0.025
CO,A47,Oxamyl oxime,0.06426666666666667
CO,A58,Tebuconazole,0.09625033112582781
CO,A61,Triflumizole,0.04482619047619048
CO,A82,Fipronil,0.014
CO,A84,Fipronil sulfone (MB46136),0.0077
CO,AAD,SD-31723,0.012
CO,ABB,Spinosad,0.06183392857142857
CO,ABC,Spinosad A,0.028535849056603772
CO,ABD,Spinosad D,0.01479375
CO,ABF,Pymetrozine,0.018850000000000002
CO,ABG,Tebufenozide,0.053214285714285714
CO,ACV,Methoprene,0.025
CO,ADC,Prallethrin,0.0664
CO,ADE,Esfenvalerate+Fenvalerate Total,0.019529166666666667
CO,ADG,Indoxacarb,0.1601142857142857
CO,ADI,Etofenprox,0.0025
CO,ADW,Triazole alanine (TA),0.03466296296296296
CO,ADX,Triazole acetic acid (TAA),0.016327777777777778
CO,AED,Hydroxy atrazine,72.7
CO,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",0.025169714285714285
CO,AEM,"Cyhalothrin, Lambda",0.011871875
CO,AEP,Clothianidin,0.0391027027027027
CO,AES,Methoxyfenozide,0.15941610169491524
CO,AEW,Famoxadone,1.1742666666666668
CO,AFF,Flumioxazin,0.0093
CO,AFM,Flutriafol,0.044316666666666664
CO,AFO,Dinotefuran,0.03906231884057971
CO,AFS,Fenpyroximate,0.025507407407407406
CO,AFU,Propamocarb hydrochloride,0.26808253968253964
CO,AFW,Spiromesifen Total (parent + enol metabolite),0.06645000000000001
CO,AFX,Novaluron,0.023434375
CO,AGA,Cyazofamid,0.6803333333333333
CO,AGG,Flonicamid,0.18078272727272726
CO,AGH,Emamectin benzoate,0.0033
CO,AGJ,Fluoxastrobin,0.029300000000000003
CO,AGR,"2,4-dimethylphenyl formamide (2,4-DMPF)",0.013619999999999998
CO,AGT,Spiromesifen,0.035908
CO,AGW,Chlorantraniliprole,0.13231379310344826
CO,AGX,Mandipropamid,0.6088680412371135
CO,AGY,Spinetoram,0.04156633663366337
CO,AHB,Azadirachtin A,0.032
CO,AHF,Imidacloprid urea,0.0027
CO,AHM,Spirotetramat,0.022924358974358974
CO,AHS,Flubendiamide,0.01622857142857143
CO,AHT,Fluopicolide,0.209434693877551
CO,AJJ,Uniconazole,0.0033
CO,AJY,Spiroxamine,0.0018
CO,AKC,Ametoctradin,0.90594375
CO,AKD,Penthiopyrad,0.033525396825396826
CO,AKG,Fluopyram,0.02894622641509434
CO,AKS,Acequinocyl,0.2525
CO,AKU,Cyflufenamid,0.015792857142857143
CO,AKW,Fluxapyroxad,0.026364864864864862
CO,ALG,Thymol,0.044500000000000005
CO,ALS,Sulfoxaflor,0.04781052631578947
CO,ALV,Spiromesifen alcohol,0.04136428571428571
CO,AMB,Cyantraniliprole,0.11725
CO,AMC,Cyflumetofen,0.030436363636363636
CO,ANC,Tolfenpyrad,0.021531250000000002
CO,AND,Propamocarb,0.1591875
CO,ANE,Flupyradifurone,0.09130952380952381
CO,ANF,Metrafenone,0.0220875
CO,ANH,Isofetamid,0.027674999999999998
CO,AOG,Imidacloprid desnitro,0.0028
CO,AOK,Imidacloprid olefin,0.0215
CO,B10,Hexythiazox,0.04171489361702128
CO,B13,Chlorfenapyr,0.037913333333333334
CO,B16,Pyrimethanil,0.5203713754646839
CO,B22,Cyprodinil,0.17476258503401362
CO,B23,Fludioxonil,0.36128948655256726
CO,B24,Pyriproxyfen,0.018976190476190473
CO,B41,Fenhexamid,0.17570588235294116
CO,B42,Kresoxim-methyl,0.009973333333333334
CO,B43,Thiamethoxam,0.01596714975845411
CO,B44,Zoxamide,0.073
CO,B46,Clopyralid,0.1312
CO,B48,Azoxystrobin,0.09588961352657005
CO,B52,Buprofezin,0.032398888888888894
CO,B53,Epoxiconazole,0.0017
CO,B56,Pyridaben,0.017366666666666666
CO,B57,Quinoxyfen,0.014637704918032787
CO,B58,Difenoconazole,0.027889772727272725
CO,B61,Pyraclostrobin,0.04970205655526992
CO,B63,Flutolanil,0.0066
