city_ascii,state_id,county_name,lat,lng
Tiltonsville,OH,Jefferson,40.1721,-80.6973
Mio,MI,Oscoda,44.6605,-84.1418
Pemberville,OH,Wood,41.4096,-83.4587
Tolar,TX,Hood,32.3895,-97.919
Altoona,AL,Etowah,34.0308,-86.3179
Lakes West,CT,Western Connecticut,41.335,-73.513
Brookside Village,TX,Brazoria,29.5908,-95.3179
Cumberland Head,NY,Clinton,44.7177,-73.398
Springfield,CO,Baca,37.405,-102.6189
Rehoboth Beach,DE,Sussex,38.7172,-75.0845
Smithville,OH,Wayne,40.8625,-81.8604
Menard,TX,Menard,30.9185,-99.7837
Sabana Eneas,PR,San Germán,18.081,-67.0852
Oakland,PA,Lawrence,40.9914,-80.3671
Wallis,TX,Austin,29.6317,-96.0638
Mayville,NY,Chautauqua,42.2531,-79.503
Amargosa Valley,NV,Nye,36.5424,-116.4877
Cove Creek,NC,Watauga,36.2763,-81.7829
Wakefield,NE,Dixon,42.2665,-96.8632
Tallaboa Alta,PR,Peñuelas,18.0504,-66.702
Hampton,AR,Calhoun,33.5347,-92.4667
Pinconning,MI,Bay,43.8573,-83.9638
Ardmore,TN,Giles,35.0031,-86.8548
Franklin,TX,Robertson,31.025,-96.4876
West Canton,NC,Haywood,35.5384,-82.8672
Fullerton,NE,Nance,41.3647,-97.9726
University Heights,IA,Johnson,41.6551,-91.5589
Lacoochee,FL,Pasco,28.4655,-82.1698
Green Valley,SD,Pennington,44.039,-103.1116
Mallory,WV,Logan,37.7302,-81.8243
Miami,AZ,Gila,33.3951,-110.8724
Centerfield,UT,Sanpete,39.1274,-111.8184
Canaan,CT,Northwest Hills,42.0347,-73.3322
Coats Bend,AL,Etowah,34.0774,-85.8742
Tok,AK,Southeast Fairbanks,63.329,-143.0379
Parks,AZ,Coconino,35.2939,-111.977
Stratford,OK,Garvin,34.7952,-96.9603
Thermal,CA,Riverside,33.6262,-116.1309
Jackson Center,OH,Shelby,40.4385,-84.0413
Norris City,IL,White,37.979,-88.3279
Mansfield,MO,Wright,37.1102,-92.5804
Bristol,FL,Liberty,30.4255,-84.9773
Grandview,OH,Hamilton,39.1923,-84.7244
Lannon,WI,Waukesha,43.1521,-88.1605
Rogersville,AL,Lauderdale,34.8251,-87.2821
Roslyn Estates,NY,Nassau,40.7937,-73.6612
Oakwood,IL,Vermilion,40.1101,-87.7769
Ash Flat,AR,Sharp,36.2365,-91.6067
Bel-Nor,MO,St. Louis,38.7017,-90.318
Raubsville,PA,Northampton,40.6295,-75.2024
North Redington Beach,FL,Pinellas,27.8213,-82.819
Galveston,IN,Cass,40.5766,-86.1924
Peach Lake,NY,Putnam,41.3693,-73.5785
Russiaville,IN,Howard,40.4187,-86.2728
Wade,MS,Jackson,30.6401,-88.5579
Mantua,UT,Box Elder,41.5006,-111.9344
Meggett,SC,Charleston,32.6968,-80.273
Meade,KS,Meade,37.2836,-100.343
Walnut,IL,Bureau,41.5571,-89.5912
Grant,MI,Newaygo,43.3348,-85.8094
Castle Dale,UT,Emery,39.2218,-111.023
Red Boiling Springs,TN,Macon,36.5301,-85.8481
Montegut,LA,Terrebonne,29.4656,-90.5617
Monette,AR,Craighead,35.8931,-90.3443
Kempner,TX,Lampasas,31.0755,-97.9725
Appleton,MN,Swift,45.1998,-96.0225
East Vineland,NJ,Atlantic,39.4805,-74.9158
Hallstead,PA,Susquehanna,41.9616,-75.7471
Killian,LA,Livingston,30.353,-90.5795
Dona Ana,NM,Doña Ana,32.394,-106.8177
Pierceton,IN,Kosciusko,41.1993,-85.7033
Killen,AL,Lauderdale,34.8607,-87.5268
Forest Lake,IL,Lake,42.2103,-88.0531
Millbury,OH,Wood,41.5648,-83.4255
Larimore,ND,Grand Forks,47.9091,-97.6269
Buhler,KS,Reno,38.1384,-97.7704
Irwindale,CA,Los Angeles,34.1121,-117.9636
Moreland,ID,Bingham,43.2195,-112.4378
Lakewood Club,MI,Muskegon,43.3761,-86.2563
Russell,PA,Warren,41.9393,-79.1393
Basye,VA,Shenandoah,38.8182,-78.7659
Dassel,MN,Meeker,45.0831,-94.315
Rome City,IN,Noble,41.4893,-85.361
East Hazel Crest,IL,Cook,41.5758,-87.6503
Wheaton,MN,Traverse,45.8059,-96.498
Glyndon,MN,Clay,46.8709,-96.5784
Rockwell Place,TX,Randall,35.0422,-101.9084
Orangeville,UT,Emery,39.2309,-111.0592
Cornwells Heights,PA,Bucks,40.0771,-74.9517
Brandywine Bay,NC,Carteret,34.7384,-76.8303
Dagsboro,DE,Sussex,38.5462,-75.2458
Bovina,TX,Parmer,34.5156,-102.8848
Webberville,MI,Ingham,42.6643,-84.1797
Encinal,TX,La Salle,28.041,-99.3546
Mora,PR,Isabela,18.4626,-67.0323
Colbert,OK,Bryan,33.8579,-96.5059
Muenster,TX,Cooke,33.6586,-97.3874
Frazeysburg,OH,Muskingum,40.1191,-82.1177
Biola,CA,Fresno,36.7999,-120.021
Montezuma,IA,Poweshiek,41.5834,-92.5276
Silver Grove,KY,Campbell,39.0404,-84.3995
Wayne,WV,Wayne,38.2301,-82.4415
Paul,ID,Minidoka,42.6052,-113.7847
Fountain Green,UT,Sanpete,39.6281,-111.6413
Coulee Dam,WA,Okanogan,47.9689,-118.9759
Shelton,NE,Buffalo,40.7784,-98.7294
Saxonburg,PA,Butler,40.7509,-79.815
Athena,OR,Umatilla,45.8133,-118.4926
Pioneer,OH,Williams,41.6773,-84.5524
Morton,WA,Lewis,46.5575,-122.2815
Pierson,FL,Volusia,29.2401,-81.4559
Wartburg,TN,Morgan,36.1038,-84.5859
Appleton City,MO,St. Clair,38.1906,-94.031
Windsor,PA,York,39.9163,-76.584
Cana,VA,Carroll,36.5816,-80.6688
Paincourtville,LA,Assumption,29.9886,-91.0554
Richmond,MN,Stearns,45.4547,-94.5135
Woodland Hills,UT,Utah,40.0132,-111.6558
Woodsville,NH,Grafton,44.1423,-72.0256
Olla,LA,LaSalle,31.8981,-92.2404
Middleburg,PA,Snyder,40.7892,-77.0445
New Hackensack,NY,Dutchess,41.6194,-73.8593
Tower City,PA,Schuylkill,40.5884,-76.553
Lexington,MI,Sanilac,43.2671,-82.5374
Sardinia,OH,Brown,39.0071,-83.802
Loyal,WI,Clark,44.7366,-90.4956
Lone Jack,MO,Jackson,38.8706,-94.1852
Alto,GA,Banks,34.4649,-83.5727
Cordry Sweetwater Lakes,IN,Brown,39.3085,-86.1227
Glenns Ferry,ID,Elmore,42.9504,-115.3067
Maple Bluff,WI,Dane,43.1131,-89.3718
Plainview,NE,Pierce,42.3534,-97.7871
Farmingdale,NJ,Monmouth,40.1985,-74.1702
Mansfield,AR,Scott,35.0635,-94.2373
Shoreacres,TX,Harris,29.6203,-95.0191
Union City,OK,Canadian,35.4015,-97.9047
Elkader,IA,Clayton,42.8574,-91.4028
Onset,MA,Plymouth,41.7481,-70.667
Dilkon,AZ,Navajo,35.3606,-110.3155
Woodland Heights,PA,Venango,41.4108,-79.7048
Lower Lake,CA,Lake,38.9118,-122.6084
Waterflow,NM,San Juan,36.7568,-108.4673
Six Shooter Canyon,AZ,Gila,33.3569,-110.7719
Magnolia Springs,AL,Baldwin,30.4003,-87.7749
Surf City,NJ,Ocean,39.6646,-74.1711
Gillett,WI,Oconto,44.8897,-88.3063
Charlotte,TX,Atascosa,28.8593,-98.7006
Coon Rapids,IA,Carroll,41.8747,-94.6785
Boyce,LA,Rapides,31.3907,-92.67
Republic,PA,Fayette,39.9664,-79.8768
Lone Pine,CA,Inyo,36.5774,-118.0777
Sibley,LA,Webster,32.5422,-93.2947
Palmyra,IN,Harrison,38.4082,-86.1086
Sutton-Alpine,AK,Matanuska-Susitna,61.7428,-148.8548
Victory Lakes,NJ,Gloucester,39.6305,-74.9663
Manton,MI,Wexford,44.4114,-85.401
Indios,PR,Guayanilla,17.9942,-66.821
Duboistown,PA,Lycoming,41.2228,-77.038
Pioneer,CA,Amador,38.4337,-120.586
Snyder,OK,Kiowa,34.655,-98.9535
Atlantic Beach,NY,Nassau,40.5893,-73.7295
Lenape Heights,PA,Armstrong,40.7633,-79.5217
Edinburg,VA,Shenandoah,38.8235,-78.5634
Camp Hill,AL,Tallapoosa,32.8002,-85.6536
Chevy Chase Heights,PA,Indiana,40.6403,-79.1456
Nellieburg,MS,Lauderdale,32.3974,-88.783
Falls City,OR,Polk,44.8648,-123.4372
Sheldon,IL,Iroquois,40.771,-87.5657
Albion,PA,Erie,41.8904,-80.3641
Henning,TN,Lauderdale,35.682,-89.577
Redington Beach,FL,Pinellas,27.8128,-82.8096
Halifax,VA,Halifax,36.7612,-78.9279
Cordova,NC,Richmond,34.9103,-79.8119
Alamosa East,CO,Alamosa,37.4766,-105.8397
Gloster,MS,Amite,31.1951,-91.0176
Tatum,TX,Rusk,32.3159,-94.5189
Munday,TX,Knox,33.4471,-99.624
Cashion,OK,Kingfisher,35.8009,-97.6771
Ramos,PR,Luquillo,18.3389,-65.7111
Hillsboro,WI,Vernon,43.656,-90.3365
Long Creek,IL,Macon,39.8053,-88.8474
Johnson City,KS,Stanton,37.5703,-101.7447
Heppner,OR,Morrow,45.3547,-119.556
Loretto,PA,Cambria,40.5086,-78.6349
Westminster,TX,Collin,33.3649,-96.4598
Bangor,WI,La Crosse,43.8937,-90.9934
Locust Fork,AL,Blount,33.8957,-86.6302
Robins AFB,GA,Houston,32.6092,-83.5846
Mazon,IL,Grundy,41.2417,-88.4231
Mogul,NV,Washoe,39.5164,-119.923
Avimor,ID,Ada,43.7758,-116.2571
Olivet,TN,Hardin,35.2048,-88.1939
Ladd,IL,Bureau,41.381,-89.2147
Burgettstown,PA,Washington,40.3814,-80.3926
