Town,State,County
Lake Nokomis,MN,NULL
Aurora,MN,St. Louis
Maple Lake,MN,Wright
Ironton,MN,Crow Wing
Delano,MN,Wright
Hokah,MN,Houston
Minnesota Lake,MN,Faribault
Glenwood,MN,Pope
Eden Prairie,MN,Hennepin
Chaska,MN,Carver
Frontenac,MN,Goodhue
Lake City,MN,Wabasha
Lester Prairie,MN,McLeod
Farmington,MN,Dakota
Rosemount,MN,Dakota
Forbes,MN,NULL
Spring Lake,MN,NULL
Becker,MN,Sherburne
Shafer,MN,Chisago
Isle,MN,Mille Lacs
Ogilvie,MN,Kanabec
Staples,MN,Wadena
Rochester Mn,MN,NULL
Oakdale,MN,Washington
St Anthony,MN,NULL
Big Lake,MN,Sherburne
Battle Lake,MN,Otter Tail
Savage,MN,Scott
Weaver,MN,NULL
Dalton,MN,Otter Tail
Waterville,MN,Le Sueur
Evergreen,MN,NULL
Meadowlands,MN,St. Louis
Minnesota City,MN,Winona
Cohasset,MN,Itasca
Arlington,MN,Sibley
Donehower,MN,NULL
Avoca,MN,Murray
Brooklyn Park,MN,Hennepin
Laporte,MN,Hubbard
Saint Paul,MN,NULL
Braham,MN,Isanti
Hilltop,MN,Anoka
St. Peter,MN,Nicollet
Watertown,MN,Carver
Thief River Falls,MN,Pennington
Zumbrota,MN,Goodhue
Mcintosh,MN,Polk
Duluth,MN,St. Louis
Elk River,MN,Sherburne
Winsted,MN,McLeod
Chanhassen,MN,Carver
Medina,MN,Hennepin
Carlton,MN,Carlton
St. Anthony,MN,Hennepin
Oklee,MN,Red Lake
Red Lake,MN,Beltrami
Park Rapids,MN,Hubbard
Howard Lake,MN,Wright
East Bethel,MN,Anoka
Garrison,MN,Crow Wing
Brook Park,MN,Pine
Anoka,MN,Anoka
Oakland,MN,NULL
Woodbury,MN,Washington
Zimmerman,MN,Sherburne
Hollandale,MN,Freeborn
Buffalo,MN,Wright
Marshall,MN,Lyon
Centerville,MN,Anoka
Motley,MN,Morrison
Rice,MN,Benton
Burtrum,MN,Todd
Nicollet,MN,Nicollet
Sartell,MN,Stearns
Golden Valley,MN,Hennepin
Spring Lake Park,MN,Anoka
Empire,MN,NULL
Sauk Rapids,MN,Benton
Gregory,MN,NULL
Pinewood,MN,NULL
Currie,MN,Murray
Waconia,MN,Carver
Minneapois,MN,NULL
Walker,MN,Cass
Felton,MN,Clay
Roseville,MN,Ramsey
Bayport,MN,Washington
Vergas,MN,Otter Tail
Morristown,MN,Rice
Saint Cloud,MN,NULL
Hudson,MN,NULL
Erskine,MN,Polk
Coon Rapids,MN,Anoka
Ninneger,MN,NULL
Randall,MN,Morrison
Georgetown,MN,Clay
Hopkins,MN,Hennepin
Madelia,MN,Watonwan
Scandia,MN,Washington
Elbow Lake,MN,Grant
Winthrop,MN,Sibley
Chisholm,MN,St. Louis
Leroy,MN,NULL
Mendota,MN,Dakota
Silver Bay,MN,Lake
Edina,MN,Hennepin
Perham,MN,Otter Tail
West St Paul,MN,NULL
Brooten,MN,Stearns
"Grand Rapids, Mn",MN,NULL
Washkish,MN,NULL
Nisswa,MN,Crow Wing
Dawson,MN,Lac qui Parle
Cedar Mills,MN,Meeker
Mankato,MN,Blue Earth
Soudan,MN,St. Louis
Dodge Center,MN,Dodge
Hamel,MN,NULL
Wadena,MN,Wadena
Gilbert,MN,St. Louis
Annandale,MN,Wright
Saint Peter,MN,NULL
Altura,MN,Winona
Lakeville,MN,Dakota
Mazeppa,MN,Wabasha
Mounds View,MN,Ramsey
Byron,MN,Olmsted
Cottage Grove,MN,Washington
St Mary'S Point,MN,NULL
Grand Marais,MN,Cook
Pennock,MN,Kandiyohi
Taopi,MN,Mower
Glencoe,MN,McLeod
Monticello,MN,Wright
Stacy,MN,Chisago
Cass Lake,MN,Cass
Corcoran,MN,Hennepin
Hutchinson,MN,McLeod
Silver Lake,MN,McLeod
Hill City,MN,Aitkin
Saint Anthony,MN,NULL
Mora,MN,Kanabec
Eagan,MN,Dakota
Prior Lake,MN,Scott
Comfrey,MN,Brown
Lauderdale,MN,Ramsey
White Bear Lake,MN,Ramsey
Afton,MN,Washington
Pequot Lakes,MN,Crow Wing
Outing,MN,NULL
Elysian,MN,Le Sueur
Arden Hills,MN,Ramsey
Nowthen,MN,Anoka
"Padua, Mn",MN,NULL
Bemdiji,MN,NULL
Kerrick,MN,Pine
Orono,MN,Hennepin
Avon,MN,Stearns
Rollingstone,MN,Winona
Deer Creek,MN,Otter Tail
Chatfield,MN,Fillmore
"Glenwood,",MN,NULL
Melrose,MN,Stearns
Harris,MN,Chisago
Osseo,MN,Hennepin
Little Canada,MN,Ramsey
Bricelyn,MN,Faribault
Pillager,MN,Cass
Faribault,MN,Rice
Maple Plain,MN,Hennepin
Northome,MN,Koochiching
Schroeder,MN,NULL
Oronoco,MN,Olmsted
Wyoming,MN,Chisago
Wayzata,MN,Hennepin
Cosmos,MN,Meeker
Belgrade,MN,Stearns
Amboy,MN,Blue Earth
Cushing,MN,NULL
North Branch,MN,Chisago
Ashby,MN,Grant
St. Michael,MN,Wright
Merrifield,MN,Crow Wing
Rollag,MN,NULL
Longville,MN,Cass
Bigfork,MN,Itasca
Spicer,MN,Kandiyohi
Ruthton,MN,Pipestone
Hawley,MN,Clay
Pelican Rapids,MN,Otter Tail
Side Lake,MN,NULL
Worthington,MN,Nobles
Princeton,MN,Mille Lacs
Marine On St Croix,MN,NULL
Windom,MN,Cottonwood
Salol,MN,NULL
Kimball,MN,Stearns
Mayer,MN,Carver
Coleraine,MN,Itasca
Fridley,MN,Anoka
Moorhead,MN,Clay
Dakota,MN,Winona
Janesville,MN,Waseca
Finlayson,MN,Pine
Center City,MN,Chisago
Osakis,MN,Douglas
Mendota Heights,MN,Dakota
Mpls,MN,NULL
Montgomery,MN,Le Sueur
Rose Creek,MN,Mower
Nerstrand,MN,Rice
Dassel,MN,Meeker
Wahkon,MN,Mille Lacs
Denmark,MN,NULL
Owatonna,MN,Steele
Hugo,MN,Washington
Lake Bronson,MN,Kittson
Richfield,MN,Hennepin
North Oaks,MN,Ramsey
Shevlin,MN,Clearwater
Minnetonka,MN,Hennepin
Excelsior,MN,Hennepin
St. Cloud,MN,Stearns
Cloquet,MN,Carlton
Millville,MN,Wabasha
Biwabik,MN,St. Louis
Mabel,MN,Fillmore
Isanti,MN,Isanti
Otsego,MN,Wright
Lake Elmo,MN,Washington
St Louis Park,MN,NULL
Minneapolis,MN,Hennepin
Saint Bonifacius,MN,NULL
Mound,MN,Hennepin
Frost,MN,Faribault
Northfield,MN,Rice
Lakeland,MN,Washington
Waseca,MN,Waseca
Saint Anthony Village,MN,NULL
Blaine,MN,Anoka
Foley,MN,Benton
Menahga,MN,Wadena
Crosby,MN,Crow Wing
Laketown,MN,NULL
Blue Earth,MN,Faribault
Willmar,MN,Kandiyohi
Oak Grove,MN,Anoka
Easton,MN,Faribault
Ham Lake,MN,Anoka
Milan,MN,Chippewa
Welch,MN,NULL
Baker,MN,Clay
New Prague,MN,Scott
Adams,MN,Mower
Pine City,MN,Pine
Saint James,MN,NULL
Proctor,MN,St. Louis
Ottertail,MN,Otter Tail
Richville,MN,Otter Tail
Paynesville,MN,Stearns
Le Sueur,MN,Le Sueur
Good Thunder,MN,Blue Earth
Dellwood,MN,Washington
New Richland,MN,Waseca
Cormorant,MN,NULL
Hibbing,MN,St. Louis
Columbia Heights,MN,Anoka
Rockford,MN,Wright
Loretto,MN,Hennepin
Bejou,MN,Mahnomen
Glyndon,MN,Clay
Crosslake,MN,NULL
Eden Valley,MN,Meeker
Austin,MN,Mower
North Saint Paul,MN,NULL
Lesueur,MN,NULL
Sacred Heart,MN,Renville
Stewart,MN,McLeod
Carlos,MN,Douglas
Rogers,MN,Hennepin
Cambridge,MN,Isanti
New Ulm,MN,Brown
Canby,MN,Yellow Medicine
Renville,MN,Renville
Waskish,MN,NULL
South Haven,MN,Wright
Clarkfield,MN,Yellow Medicine
La Crescent,MN,Houston
West St. Paul,MN,Dakota
Fertile,MN,Polk
St Cloud,MN,NULL
Mapleview,MN,Mower
Hancock,MN,Stevens
Champlin,MN,Hennepin
Pine Island,MN,Goodhue
Cold Spring,MN,Stearns
Lanesboro,MN,Fillmore
Grant,MN,Washington
Forest Lake,MN,Washington
Sunburg,MN,Kandiyohi
Muskoda,MN,NULL
Hastings,MN,Dakota
Ramsey,MN,Anoka
Brandon,MN,Douglas
Red Wing,MN,Goodhue
Jordan,MN,Scott
Barnesville,MN,Clay
Kasota,MN,Le Sueur
Mpls.,MN,NULL
Morris,MN,Stevens
Montevideo,MN,Chippewa
Independence,MN,Hennepin
Minnetrista,MN,Hennepin
St. Louis Park,MN,Hennepin
Wabasha,MN,Wabasha
St Paul,MN,NULL
Detroit Lakes,MN,Becker
Ryan Village,MN,NULL
Long Lake,MN,Hennepin
Gibbon,MN,Sibley
Onamia,MN,Mille Lacs
Alexandria,MN,Douglas
Inver Grove Heights,MN,Dakota
Orr,MN,St. Louis
St. Anthony Village,MN,NULL
Aitkin,MN,Aitkin
St. Paul,MN,Ramsey
Clara City,MN,Chippewa
Fort Ripley,MN,Crow Wing
Cologne,MN,Carver
Burnsville,MN,Dakota
Maplewood,MN,Ramsey
Henderson,MN,Sibley
Emily,MN,Crow Wing
Kiester,MN,Faribault
Gully,MN,Polk
St. Francis,MN,Anoka
Belle Plaine,MN,Scott
Mahtomedi,MN,Washington
Milaca,MN,Mille Lacs
Eveleth,MN,St. Louis
Oak Park Heights,MN,Washington
Vawter,MN,NULL
Clear Lake,MN,Sherburne
South Saint Paul,MN,NULL
Remer,MN,Cass
Cross Lake,MN,NULL
Saint Charles,MN,NULL
Moose Lake,MN,Carlton
Wild River State Park,MN,NULL
Balaton,MN,Lyon
Lakefield,MN,Jackson
Maple Grove,MN,Hennepin
Kellogg,MN,Wabasha
Shoreview,MN,Ramsey
Niles,MI,Berrien
,MI,NULL
Lake Michigan,MI,NULL
Eaton Rapids,MI,Eaton
Alden,MI,Antrim
South Haven Charter Twp,MI,NULL
Lakeport,MI,St. Clair
Lyon Charter Township,MI,NULL
Highland Charter Township,MI,NULL
Williamsburg,MI,NULL
Sault Ste. Marie,MI,Chippewa
Franklin,MI,Oakland
Arcadia,MI,Manistee
White Pigeon,MI,St. Joseph
Watervliet,MI,Berrien
Lexington,MI,Sanilac
Township Of Branch,MI,NULL
Bridgewater,MI,NULL
Pleasant Lake,MI,NULL
Corunna,MI,Shiawassee
Tawas City,MI,Iosco
Farwell,MI,Clare
Clio,MI,Genesee
Port Huron Twp,MI,NULL
Sandusky,MI,Sanilac
Sterling,MI,Arenac
Baroda,MI,Berrien
Marine City,MI,St. Clair
Rochester,MI,Oakland
Cornell,MI,NULL
Alpena,MI,Alpena
Big Rapids Twp,MI,NULL
Argentine Township,MI,NULL
West Bloomfield,MI,NULL
Cross Village,MI,Emmet
Rapid River,MI,Delta
Maple City,MI,Leelanau
Escanaba,MI,Delta
Kent City,MI,Kent
City Of The Village Of Clarkston,MI,NULL
Interlochen,MI,Grand Traverse
Riley,MI,NULL
Marquette,MI,Marquette
Grand Rapids,MI,Kent
Calumet Township,MI,NULL
Beverly Hills,MI,Oakland
Orion Charter Township,MI,NULL
West Bloomfield Township,MI,NULL
Jenison,MI,Ottawa
Valle De Bravo,MI,NULL
Pontiac,MI,Oakland
Plymouth,MI,Wayne
Bannister,MI,NULL
Commerce Twp,MI,NULL
Brooklyn,MI,Jackson
Meridian Charter Township,MI,NULL
Brandon Township,MI,NULL
Traverse City,MI,Grand Traverse
Bad Axe,MI,Huron
Westland,MI,Wayne
Riverdale,MI,Gratiot
Reese,MI,Tuscola
Jackson,MI,Jackson
Hickory Corners,MI,Barry
Meridian,MI,NULL
Fairport,MI,NULL
Lewiston,MI,Montmorency
Auburn,MI,Bay
Portage,MI,Kalamazoo
Stephenson,MI,Menominee
Lapeer,MI,Lapeer
Mineral De Angangueo,MI,NULL
Caledonia,MI,Kent
Irons Mi,MI,NULL
Michiana,MI,Berrien
Fowlerville,MI,Livingston
Redford,MI,NULL
Walled Lake,MI,Oakland
Unadilla,MI,NULL
Battle Creek,MI,Calhoun
Ray,MI,NULL
Sawyer,MI,NULL
Paw Paw,MI,Van Buren
Hazel Park,MI,Oakland
Mayville,MI,Tuscola
Harrison,MI,Clare
Flushing,MI,Genesee
Rapid City,MI,Kalkaska
Monroe,MI,Monroe
Burlington,MI,Calhoun
Linden,MI,Genesee
Davisburg,MI,NULL
Mecosta,MI,Mecosta
Southgate,MI,Wayne
Wallace,MI,NULL
Northville,MI,Wayne
Superior Charter Twp,MI,NULL
Bay City,MI,Bay
Goodells,MI,NULL
Huron Charter Twp,MI,NULL
Waterford Township,MI,NULL
Oscoda,MI,Iosco
Edwardsburg,MI,Cass
East Grand Rapids,MI,Kent
Fenton,MI,Genesee
Charter Township Of Clinton,MI,NULL
Santuario El Rosario,MI,NULL
Wheatley,MI,NULL
Montrose,MI,Genesee
Mount Clemens,MI,Macomb
Willis,MI,NULL
Shelbyville,MI,NULL
Midland Twp,MI,NULL
Shingleton,MI,NULL
Litchfield,MI,Hillsdale
Cedar,MI,Leelanau
Roscommon,MI,Roscommon
Dorr,MI,Allegan
Glen Haven,MI,NULL
Vicksburg,MI,Kalamazoo
Howard City,MI,Montcalm
Muskegon,MI,Muskegon
Northport,MI,Leelanau
Novi,MI,Oakland
Belleville,MI,Wayne
Munith,MI,NULL
Richmond,MI,Macomb
Baldwin,MI,Lake
Comins,MI,NULL
Watersmeet,MI,Gogebic
Mackinaw City,MI,Emmet
Au Gres,MI,Arenac
Hartland,MI,Livingston
Oscoda Township,MI,NULL
Mason,MI,Ingham
Williams Charter Township,MI,NULL
Almont,MI,Lapeer
Chelsea,MI,Washtenaw
Charlevoix,MI,Charlevoix
Bingham Farms,MI,Oakland
Seney,MI,NULL
Bellaire,MI,Antrim
Bridgeport Charter Township,MI,NULL
Redford Twp,MI,NULL
Mears,MI,Oceana
Lathrup Village,MI,Oakland
Zeeland,MI,Ottawa
St Charles,MI,NULL
Holland,MI,Ottawa
St. Johns,MI,Clinton
Union,MI,NULL
Augusta,MI,Kalamazoo
Grass Lake Charter Township,MI,NULL
Watervliet Township,MI,NULL
Milford Charter Twp,MI,NULL
Livonia,MI,Wayne
Washington Twp.,MI,NULL
Petoskey,MI,Emmet
Smiths Creek,MI,NULL
Sodus,MI,NULL
Romeo,MI,Macomb
Wabaningo,MI,NULL
Melvindale,MI,Wayne
Chassell,MI,Houghton
Missaukee,MI,NULL
Spruce,MI,NULL
Erie,MI,NULL
Farmington,MI,Oakland
Fair Haven,MI,NULL
Comstock Park,MI,Kent
Spring Lake,MI,Ottawa
Bay City State Park,MI,NULL
Dexter,MI,Washtenaw
Coldwater,MI,Branch
Harbor View,MI,NULL
Auburn Hills,MI,Oakland
Spring Arbor,MI,Jackson
De Tour Village,MI,Chippewa
St. Clair Shores,MI,Macomb
Union Pier,MI,NULL
Grass Lake,MI,Jackson
Caseville,MI,Huron
Clinton Township,MI,NULL
White Cloud,MI,Newaygo
Washington,MI,NULL
Milford,MI,Oakland
Norway,MI,Dickinson
Leslie,MI,Ingham
Eastpointe,MI,Macomb
Dryden,MI,Lapeer
Bath Twp,MI,NULL
Okemos,MI,Ingham
Mt. Pleasant,MI,NULL
Saranac,MI,Ionia
St Joseph,MI,NULL
Champion,MI,NULL
Oshtemo,MI,NULL
Brighton,MI,Livingston
Clarksville,MI,Ionia
Munising,MI,Alger
Grosse Pointe Woods,MI,Wayne
Ypsilanti,MI,Washtenaw
Alabaster,MI,NULL
Vassar,MI,Tuscola
Saint Ignace,MI,NULL
Greenbush,MI,NULL
Fenwick,MI,NULL
Pigeon,MI,Huron
Commerce Township,MI,NULL
Whitmore Lake,MI,Washtenaw
Standish,MI,Arenac
Lakeview,MI,Montcalm
Indian  River,MI,NULL
Lincoln,MI,Alcona
Decatur,MI,Van Buren
Sumpter,MI,NULL
New Hudson,MI,NULL
Independence Charter Township,MI,NULL
Pleasant Ridge,MI,Oakland
Brown City,MI,Sanilac
Gilford,MI,NULL
Clinton Twp,MI,NULL
Bridgman,MI,Berrien
Clawson,MI,Oakland
Kalkaska,MI,Kalkaska
New Buffalo,MI,Berrien
Galesburg,MI,Kalamazoo
Grosse Pointe Park,MI,Wayne
Cedar Springs,MI,Kent
Lincoln Park,MI,Wayne
Gould City,MI,NULL
Glenn,MI,NULL
Grand Blanc,MI,Genesee
Stevensville,MI,Berrien
West Olive,MI,NULL
East Tawas,MI,Iosco
Saint Clair,MI,NULL
Gobles,MI,Van Buren
Grand Ledge,MI,Eaton
Onsted,MI,Lenawee
Utica,MI,Macomb
Trout Lake,MI,NULL
Rothbury,MI,Oceana
Port Oneida,MI,NULL
Sanborn Township,MI,NULL
Hope,MI,NULL
Marshall,MI,Calhoun
Jamestown,MI,NULL
Mio,MI,Oscoda
Long Rapids,MI,NULL
Cedar Lake,MI,NULL
Hillman,MI,Montmorency
Riverview,MI,Wayne
Akron,MI,Tuscola
Marysville,MI,St. Clair
Skandia,MI,NULL
Cannon Township,MI,NULL
Farmington Hills,MI,Oakland
Garden,MI,Delta
Capac,MI,St. Clair
Empire,MI,Leelanau
Paradise,MI,NULL
Walkerville,MI,Oceana
Hiawatha,MI,NULL
Selfridge Air National Guard Base,MI,NULL
Brownstown Charter Twp,MI,NULL
Atlanta,MI,Montmorency
Clay Township,MI,NULL
New Baltimore,MI,Macomb
Grosse Pointe.,MI,NULL
Walker,MI,Kent
Ferndale,MI,Oakland
Lansing,MI,Ingham
Roseville,MI,Macomb
Shelby Charter Township,MI,NULL
Berkley,MI,Oakland
Inkster,MI,Wayne
Elwell,MI,NULL
Greenville,MI,Montcalm
Central Lake,MI,Antrim
Hudson,MI,Lenawee
Huron Charter Township,MI,NULL
Ravenna,MI,Muskegon
Birch Run,MI,Saginaw
Cassopolis,MI,Cass
Adrian,MI,Lenawee
Mullett Lake,MI,NULL
Alto,MI,NULL
Bloomfield Hills,MI,Oakland
Marne,MI,NULL
Bois Blanc Township,MI,NULL
Barton City,MI,NULL
Clarklake,MI,NULL
Oden,MI,Emmet
Owosso,MI,Shiawassee
Fraser,MI,Macomb
Cedar River,MI,NULL
Bete Gris Preserve,MI,NULL
Leland,MI,Leelanau
Plainwell,MI,Allegan
Montague,MI,Muskegon
Copemish,MI,Manistee
Fairview,MI,NULL
Bete Grise,MI,NULL
Ontonagon,MI,Ontonagon
Plainfield Charter Township,MI,NULL
Sault Sainte Marie,MI,NULL
Birmingham,MI,Oakland
Fort Gratiot Twp,MI,NULL
Elo,MI,NULL
Canton,MI,NULL
Petersburg,MI,Monroe
Menominee,MI,Menominee
Hudsonville,MI,Ottawa
Wixom,MI,Oakland
Houghton,MI,Houghton
Belding,MI,Ionia
Dundee,MI,Monroe
Algonac,MI,St. Clair
Ottawa Lake,MI,NULL
Delton,MI,Barry
Posen,MI,Presque Isle
Kalamazoo,MI,Kalamazoo
Newago,MI,NULL
Chesterfield Township,MI,NULL
Albion,MI,Calhoun
Dansville,MI,Ingham
Manchester,MI,Washtenaw
Sturgis,MI,St. Joseph
Fulton,MI,Keweenaw
Ann Arbor Charter Twp,MI,NULL
Midland,MI,Midland
Byron,MI,Shiawassee
Williamston,MI,Ingham
Suttons Bay,MI,Leelanau
Grand Marais,MI,Alger
Leonard,MI,Oakland
Ferrysburg,MI,Ottawa
Clinton Twsp,MI,NULL
Weidman,MI,Isabella
Douglas,MI,Allegan
Manitou Beach,MI,NULL
Harsens Island,MI,NULL
East Lansing,MI,Ingham
Port Hope,MI,Huron
Holly,MI,Oakland
Brownstown Charter Township,MI,NULL
Fort Gratiot Township,MI,NULL
Oakland Charter Township,MI,NULL
Ellsworth,MI,Antrim
South Haven Twp,MI,NULL
Garfield Twp,MI,NULL
Wayland,MI,Allegan
Hemlock,MI,Saginaw
Linwood,MI,NULL
Lawrence,MI,Van Buren
Waterford,MI,NULL
Deerton,MI,NULL
Schoolcraft,MI,Kalamazoo
Kewadin,MI,NULL
Comstock Twp,MI,NULL
Afton,MI,NULL
Presque Isle,MI,NULL
South Rockwood,MI,Monroe
Columbiaville,MI,Lapeer
Taylor,MI,Wayne
Alabaster Bike Path,MI,NULL
Harrisville,MI,Alcona
Buchanan,MI,Berrien
Silver Lake State Park,MI,NULL
Iron Mountain,MI,Dickinson
Kaleva,MI,Manistee
Lakeside,MI,NULL
Mattawan,MI,Van Buren
Hagar Shores,MI,NULL
Whittemore,MI,Iosco
Gladstone,MI,Delta
Haslett,MI,Ingham
Davison,MI,Genesee
Springfield,MI,Calhoun
Newberry,MI,Luce
Clarkston,MI,NULL
St. Charles,MI,Saginaw
Johannesburg,MI,NULL
Allegan,MI,Allegan
Machinaw City,MI,NULL
Scottville,MI,Mason
Saginaw,MI,Saginaw
Crystal,MI,Montcalm
Germfask,MI,NULL
Lum,MI,NULL
Harrison Township,MI,NULL
Coleman,MI,Midland
Perry,MI,Shiawassee
Chesterfield,MI,NULL
Marlette,MI,Sanilac
Drummond Island,MI,NULL
"Tawas Point, Michigan",MI,NULL
Brownstown,MI,NULL
Osseo,MI,NULL
Benton Harbor,MI,Berrien
Elmira,MI,NULL
Berville,MI,NULL
Carleton,MI,Monroe
Clayton,MI,Lenawee
Free Soil,MI,Mason
Warren,MI,Macomb
Harrison Charter Township,MI,NULL
Ada,MI,NULL
Augusta Charter Township,MI,NULL
Wyoming,MI,Kent
Hubbard Lake,MI,Alcona
Peninsula Point,MI,NULL
Gowen,MI,NULL
Pinconning,MI,Bay
La Salle,MI,NULL
Norton Shores,MI,Muskegon
Sterling Heights,MI,Macomb
Elsie,MI,Clinton
Goodrich,MI,Genesee
Frederic,MI,NULL
Grand Haven Charter Township,MI,NULL
Macatawa,MI,NULL
Grosse Pointe Shores,MI,NULL
Alabaster Path,MI,NULL
South Have,MI,NULL
Moran Township,MI,NULL
Owendale,MI,Huron
Port Sanilac,MI,Sanilac
Grand Junction,MI,NULL
Romulus,MI,Wayne
Negaunee,MI,Marquette
Irons,MI,NULL
Berrien Center,MI,NULL
Tecumseh,MI,Lenawee
Whitehall,MI,Muskegon
Mancelona,MI,Antrim
Clinton Twsp.,MI,NULL
Indian River,MI,Cheboygan
Oak Park,MI,Oakland
Hollond,MI,NULL
Van Buren Charter Township,MI,NULL
Moran,MI,NULL
Holton,MI,NULL
Au Sable,MI,Iosco
Southfield,MI,Oakland
Bliss,MI,NULL
Onekama,MI,Manistee
Homer,MI,Calhoun
Garden City,MI,Wayne
Harbert,MI,NULL
Manton,MI,Wexford
Beaverton,MI,Gladwin
Chesterfield Twp.,MI,NULL
Lake,MI,NULL
Shelby Township,MI,NULL
St Clair Shores,MI,NULL
Tawas Point,MI,NULL
Athens,MI,Calhoun
Grant Township,MI,NULL
Hart,MI,Oceana
Rose City,MI,Ogemaw
Twin Lake,MI,Muskegon
Mackinac Island,MI,Mackinac
Frankenmuth,MI,Saginaw
Ann Arbor,MI,Washtenaw
Mass City,MI,Ontonagon
Port Huron,MI,St. Clair
Bay View,MI,Emmet
Clare,MI,Clare
West Branch,MI,Ogemaw
Walloon Lake,MI,Charlevoix
Madison Heights,MI,Oakland
Highland,MI,NULL
Forest Hills,MI,Kent
Glen Arbor,MI,Leelanau
Cedarville,MI,NULL
Fremont,MI,Newaygo
Bath,MI,Clinton
Gulliver,MI,NULL
Saint Clair Shores,MI,NULL
Bangor,MI,Van Buren
Cement City,MI,Lenawee
Shelby,MI,Oceana
Wayne,MI,Wayne
Pinckney,MI,Livingston
Trout Creek,MI,NULL
Contepec,MI,NULL
Rockwood,MI,Wayne
Otsego,MI,Allegan
Caro,MI,Tuscola
Cheboygan,MI,Cheboygan
Cement City Michigan,MI,NULL
Bronson,MI,Branch
Metamora,MI,Lapeer
Lasalle,MI,NULL
East Jordan,MI,Charlevoix
Roscommon Township,MI,NULL
Center Line,MI,Macomb
Manistee,MI,Manistee
Mt Pleasant,MI,NULL
Sault Ste Marie,MI,NULL
St Johns,MI,NULL
Orion Twp,MI,NULL
Vulcan,MI,NULL
"Metamora, Mi",MI,NULL
Three Oaks,MI,Berrien
Commerce Charter Twp,MI,NULL
Ironwood,MI,Gogebic
Drummond,MI,NULL
Sand Creek,MI,NULL
Ludington,MI,Mason
Belmont,MI,NULL
Covert,MI,NULL
Fenton (Hartland Township),MI,NULL
Iron River,MI,Iron
Lake Orion,MI,Oakland
"Jackson, Mi",MI,NULL
Saint Johns,MI,NULL
Oak Grove,MI,NULL
Milan,MI,Monroe
Lowell,MI,Kent
Summit Township,MI,NULL
Fairgrove,MI,Tuscola
Saugatuck,MI,Allegan
Maybee,MI,Monroe
Harper Woods,MI,Wayne
Webberville,MI,Ingham
Beulah,MI,Benzie
Springfield Township,MI,NULL
Pierson,MI,Montcalm
Harbor Beach,MI,Huron
Tustin,MI,Osceola
Tawas Point State Park,MI,NULL
"Iron River,",MI,NULL
Sanford,MI,Midland
Port Austin,MI,Huron
Swartz Creek,MI,Genesee
St. Ignace,MI,Mackinac
Saline,MI,Washtenaw
Grandville,MI,Kent
Applegate,MI,Sanilac
