Town,State/Province,County
woodbridge,VA,
bakersville,NC,
raleigh,NC,
princeton,NJ,
coxs creek,KY,
mt. juliet,TN,
arlington,VA,
amherst,VA,
clayton,MO,
myrtle beach,SC,
amherst co.,VA,
unicoi,TN,
lewisburg,WV,
orleans,MA,
fort worth,TX,
birmingham,AL,
virginia beach,VA,
smithfield,NC,
cedartown,GA,
poplar branch,NC,
oak ridge,TN,
cape may point,NJ,
piscataway,NJ,
maurice river,NJ,
middle township,NJ,
delmar,MD,
alexandria,VA,
chatham co.,NC,
mar-mac,NC,
bardwell,KY,
tupelo,MS,
lillington,NC,
louisville,KY,
baton rouge,LA,
harrisburg,IL,
westmoreland,TN,
dracut,MA,
clayton,NC,
simpsonville,SC,
gallatin,TN,
ash,NC,
ardmore,OK,
pine lake,GA,
wilmington,NC,
manes,MO,
lawton,OK,
fayetteville,AR,
charleston,AR,
oklahoma city,OK,
chapel hill,NC,
monroe,GA,
new orleans,LA,
mcminnville,TN,
warren co.,TN,
kennesaw,GA,
moncks corner,SC,
lubbock,TX,
cary,NC,
andersons corner,GA,
cosby,TN,
johnson city,TN,
clarkesville,GA,
walland,TN,
lufkin,TX,
monticello,AR,
clemson,SC,
guthrie,OK,
little rock,AR,
dumas,AR,
dallas,TX,
east flat rock,NC,
rogers,TX,
mckinney,TX,
hondo,TX,
paris,AR,
southern pines,NC,
clinton,MS,
austin,TX,
temple,TX,
mcallen,TX,
new braunfels,TX,
spring,TX,
sugar land,TX,
houston,TX,
elgin,TX,
largo,FL,
alice,TX,
orchard,TX,
galveston,TX,
hearne,TX,
bradenton,FL,
caldwell,TX,
alief,TX,
tivoli,TX,
scissors,TX,
baytown,TX,
alamo,TX,
rio grande valley,TX,
galveston bay,TX,
weslaco,TX,
parrish,FL,
fremont,CA,
humble,TX,
denver,CO,
brunswick,OH,
anniston,AL,
"sugar land,",TX,
peterborough,NH,
whitemarsh,VA,
mountain city,TN,
athens,AL,
farmer city,IL,
livingston,WI,
scarborough,ME,
"toms river,",NJ,
canaan,VT,
north myrtle beach,SC,
chicago,IL,
del rio,TX,
st.helena island,SC,
hampton,VA,
collegeville,PA,
washingtonville,NY,
shady side,MD,
brookfield,WI,
chestnut hill,MA,
brackenridge,PA,
orlando,FL,
brenham,TX,
albany,CA,
slidell,LA,
jim thorpe,PA,
plymouth,MN,
college station,TX,
st. marys,WV,
shawnee,KS,
lorenzo,TX,
boone,NC,
rockville,MD,
georgetown,TX,
peru,NY,
"glen flora,",WI,
throop,PA,
miamisburg/centerville,OH,
iraan,TX,
nyack,NY,
lewisville,TX,
lansdale,PA,
williamsburg,MA,
hale center,TX,
indio,CA,
st. helena island,SC,
prarie du chein,WI,
dumont,NJ,
reynoldsburg,OH,
warren,MI,
atlanta,GA,
"racine, wi",WI,
holly springs,NC,
aiken,SC,
silver spring,MD,
grand island,NE,
blue hill,ME,
north wilkesboro,NC,
binghamton,NY,
dover,NH,
holyoke,MA,
wynnewood,PA,
canton,NY,
"texarkana,",AR,
richland hills,TX,
midland,TX,
kansas city,KS,
lewisburg,TN,
rush,NY,
chittenden,VT,
york,NE,
rye,NH,
interlochen,MI,
"iron river,",MI,
burlington,NC,
wichita falls,TX,
new gloucester,ME,
racine,WI,
garyville,LA,
auburn,CA,
cleveland,MS,
fremont,MI,
bronte,TX,
omaha,NE,
parkersburg,WV,
west des moines,IA,
san angelo,TX,
bristol,TX,
oxford,NJ,
palm springs,CA,
middlesex,NJ,
traverse city,MI,
elkview,WV,
barnet,VT,
shawnee mission,KS,
kenosha,WI,
louisville,CO,
lenoir,NC,
henrietta,NY,
blackwell,OK,
perrysburg,OH,
duluth,MN,
st. charles,MO,
richland,WA,
manchester,VT,
oconomowoc,WI,
hagerstown,MD,
grafton,IL,
clinton,CT,
springfield,VA,
west st. paul,MN,
belmont,WV,
kansas city,MO,
asheville,NC,
lacynge,KS,
sandstone,MN,
carbondale,CO,
bar harbor,ME,
harlan,IA,
downingtown,PA,
st. louis,MO,
granite city,IL,
kenner,LA,
lenoir city,TN,
altoona,WI,
huntington,IN,
defiance,MO,
dexter,ME,
port huron,MI,
seville,OH,
sartell,MN,
bremen,ME,
port lavaca tx 77979,TX,
port lavaca,TX,
cedarhurst,NY,
woodbridge,NJ,
silver city,NM,
gore,OK,
buda,TX,
"st. petersburg,",FL,
statham,GA,
port lavaca 77979,TX,
texas,TX,
phila,PA,
victoria tx 77901,TX,
franklin,TN,
"metairie,",LA,
pineville,LA,
victoria 77901,TX,
tyler,TX,
benton,PA,
abilene,TX,
fairfield,OH,
cape coral,FL,
mpls.,MN,
sebastian,FL,
victoria,TX,
woodbridge,AK,
chickasaw,AL,
twentynine palms,CA,
somers,CT,
south pelto,LA,
middletown,NY,
angangueo,MN,
dover,AR,
"goffstown,",NH,
antrim,NH,
kyle,TX,
houston/galveston,TX,
edmond,OK,
reston,VA,
tuscola,TX,
rosita north,TX,
vero beach,FL,
maypearl,TX,
el indio,TX,
flagstaff,AZ,
chickasha,OK,
muskogee,OK,
vanderpool,TX,
starr,SC,
spofford,TX,
san antonio,TX,
pampa,TX,
denton,TX,
"fort worth, texas",TX,
summerfield,FL,
campbell,TX,
grapevine,TX,
richardson,TX,
stinnett,TX,
"azle, tx",TX,
kingwood,TX,
dumas,TX,
norman,OK,
perry,OK,
ft.worth,TX,
enid,OK,
menard,TX,
elk city,KS,
rocky mount,NC,
sunray,TX,
clintwood,VA,
sublette,KS,
madison,CT,
nashville,KS,
st.augustine,FL,
northvale,NJ,
gloucester,MA,
joplin,MO,
carthage,MO,
pilot mountain,NC,
laurens,SC,
canton,MA,
pflugerville,TX,
el dorado springs,MO,
nevada,MO,
lamar,MO,
lake city,GA,
nashville,TN,
stone mountain,GA,
westford,MA,
mystic,CT,
bluff city,TN,
foster,RI,
muscatine,IA,
queensbury,NY,
seabrook,TX,
bedford,VA,
riverdale,MD,
dodge city,KS,
ardmore,AL,
middle island,NY,
locust grove,GA,
emporia,KS,
hillsboro,NH,
elkhorn,WI,
jacksonville,TX,
idaho springs,CO,
hershey,PA,
sharon,CT,
sharon,MA,
middlebury,VT,
williamsburg,VA,
fostoria,OH,
ogdensburg,NY,
longview,TX,
mamaroneck,NY,
decatur,AL,
collierville,TN,
sterling,VA,
busick,NC,
richland center,WI,
charlotte,NC,
sulphur,LA,
bracketville,TX,
lynchburg,VA,
cedar falls,IA,
tremont,IL,
lebanon,MO,
pgh,PA,
ellsworth,WI,
colchester,IL,
college springs,IA,
oshkosh,WI,
hopkinton,NH,
lisbon,OH,
iowa city,IA,
churdan,IA,
bend,TX,
valley,NE,
lehigh,IA,
fredericksburg,OH,
monticello,NY,
buffalo,NY,
fort calhoun,NE,
broaddus,TX,
"cleveland,ohio",OH,
clinton twsp.,MI,
orange,CT,
chicago heights,IL,
vergennes,VT,
loomis,NE,
south bristol,ME,
kerhonkson,NY,
stonewall,TX,
glen spey,NY,
galena,IL,
greenville,MS,
bethany,CT,
pueblo,CO,
shakopee,MN,
osage,IA,
lexington,NE,
mukwonago,WI,
"st. louis, mo",MO,
henryville,IN,
westbrook,CT,
westport,CT,
fortville,IN,
rochester,IN,
brandon,FL,
mound city,MO,
blair,NE,
winfield,IL,
merrimack,NH,
north bend,NE,
skidmore,MO,
council bluffs,IA,
northfield,MN,
milwaukee,WI,
mount carroll,IL,
cedar rapids,IA,
tama,IA,
griffith,IN,
ada,OK,
"glen rose,",TX,
"saltaire, fire island",NY,
"gardiner,",ME,
pittsboro,NC,
fort walton beach,FL,
gotha,MN,
waseca,MN,
wolfeboro,NH,
north canton,OH,
waukesha,WI,
big lake,TX,
antigo,WI,
clinton,IN,
cologne,MN,
rockwall,TX,
groton,MA,
castleton,VT,
front royal,VA,
grafton,VA,
mt. ida,AR,
beach haven,NJ,
mishicot,WI,
canton,MI,
floyd,VA,
deforest,WI,
west portsmouth,OH,
katonah,NY,
montpelier,VT,
springport,MI,
peachtree city,GA,
radford,VA,
tulsa,OK,
fairview park,OH,
demorest,GA,
moodus,CT,
westerly,RI,
newton,MA,
claremont,NH,
schenectady,NY,
brookline,MA,
bowie,MD,
broken arrow,OK,
fiskdale,MA,
sunset hills,MO,
dell rapids,SD,
hales corners,WI,
st cloud,MN,
redford,MI,
brooksville,FL,
fabius,NY,
sidney,IA,
geneva,NY,
parshall,ND,
amherst,MA,
cresco,IA,
janesville,WI,
gowanda,NY,
mentor,OH,
salt lake city,UT,
goessel,KS,
eagle,WI,
monument,CO,
spearfish,SD,
yonkers,NY,
new baltimore,MI,
haverhill,MA,
kennewick,WA,
worcester,MA,
bryan,TX,
tiki island,TX,
friendswood,TX,
gulf breeze,FL,
tow,TX,
crawfordville,FL,
,TX,
port o'connor,TX,
navarre,FL,
aransas nwr,TX,
torrance,CA,
santa monica,CA,
carmel,CA,
auberry,CA,
pasadena,TX,
palm beach gardens,FL,
los osos,CA,
pismo beach,CA,
miami,FL,
marianna,FL,
pacific grove,CA,
naples,FL,
beatrice,AL,
englewood,NJ,
wrightstown,NJ,
siesta key,FL,
sarasota,FL,
nipomo,CA,
eden,FL,
san diego,CA,
jekyll island,GA,
pensacola,FL,
st. petersburg,FL,
cypress,TX,
"los osos, morro bay",CA,
missouri city,TX,
melbourne,FL,
santa cruz,CA,
alameda,CA,
cape canaveral,FL,
st. marks,FL,
fort myers,FL,
waunakee,WI,
north port,FL,
mission,TX,
port o connor,TX,
rockport,TX,
st marks,FL,
dickinson,TX,
rotonda,FL,
santa barbara,CA,
port st. joe,FL,
ponte vedra beach,FL,
panama city,FL,
marina del rey,CA,
spring valley,TX,
pearland,TX,
leander,TX,
huntington beach,CA,
pepperell,MA,
moorpark,CA,
beaumont,TX,
jacksonville,FL,
winter springs,FL,
lighthouse point,FL,
wesley chapel,FL,
gainesville,FL,
boynton beach,FL,
atascocita,TX,
ormond beach,FL,
clearwater,FL,
james island,SC,
leo carrillo state beach,CA,
metairie,LA,
doheny state beach,CA,
andrew molera state park,CA,
big sycamore canyon,CA,
san buenaventura,CA,
carpinteria state beach,CA,
goleta,CA,
pismo state beach,CA,
montana de oro state park,CA,
morro bay,CA,
san simeon,CA,
boca raton,FL,
cape romain national wildlife refug,SC,
hunting island state park,SC,
brunswick,GA,
port wentworth,GA,
tallahassee,FL,
oakland,CA,
berkeley county,SC,
south padre island,TX,
punta gorda,FL,
darien,GA,
dauphin island,AL,
apopka,FL,
mission valley,TX,
atlantic beach,NC,
league city,TX,
coral gables,FL,
lake waccamaw,NC,
charleston,SC,
kiawah island,SC,
houston 77059,TX,
beaufort,NC,
mt. pleasant,SC,
bulls island,SC,
elk city,OK,
key biscayne,FL,
st. marks national wildlife refuge,FL,
apple valley,CA,
port st. lucie,FL,
green pond,SC,
ojai,CA,
dunedin,FL,
fort macon state park,NC,
yorba linda,CA,
north olmsted,OH,
media,PA,
coal city,IL,
texas city,TX,
katy,TX,
n volusia county,FL,
eastwood,SC,
edisto island,SC,
patriot’s point,SC,
astor,FL,
fort johnson,SC,
st. marks wildlife refuge,FL,
palm coast,FL,
st petersburg,FL,
benbrook,TX,
hunting is. state park,SC,
jupiter,FL,
diamondhead,MS,
tarpon springs,FL,
jordan,NY,
rossmoor,CA,
sullivan's island,SC,
folly beach,SC,
st. pete,FL,
tomales bluff,CA,
monona,IA,
gladstone,MO,
eau claire,WI,
kingfisher,OK,
coral springs,FL,
phoenix,AZ,
hollywood,FL,
savannah,GA,
corpus christi,TX,
oldsmar,FL,
saint marks,FL,
panacea,FL,
carrabelle,FL,
port saint lucie,FL,
new port richey,FL,
port charlotte,FL,
saint petersburg,FL,
palm harbor,FL,
sanford,FL,
deltona,FL,
moreno valley,CA,
coconut  grove,FL,
tampa,FL,
lakeland,FL,
la porte,TX,
muir woods,CA,
trinity,FL,
w melbourne,FL,
rancho mirage,CA,
big sur,CA,
san luis obispo,CA,
plaskett creek,CA,
point lobos,CA,
point mugu sp,CA,
tarpley,TX,
palm bay,FL,
kendalia,TX,
lexington,MA,
columbus,GA,
balcones canyonlands nwr,TX,
corsicana,TX,
smyrna,GA,
greenwood,SC,
freeport,ME,
"beaverdam reservoir, loudoun county",VA,
weston,CT,
sunapee,NH,
creston,IA,
alstead,NH,
santa fe,NM,
fairfax,VT,
jericho,VT,
chesterfield,MI,
scotia,NY,
"la grange park,",IL,
torrington,CT,
moretown,VT,
homer glen,IL,
stockton,IL,
cross hill/lake greenwood,SC,
eden prairie,MN,
chicopee,MA,
jackson,NJ,
burlington,VT,
tupper lake,NY,
ledgewood,NJ,
wakefield,MA,
newport,RI,
monroe,LA,
plum borough,PA,
moultonborough,NH,
livermore,ME,
wilderville,OR,
eagle pass,TX,
norwich,VT,
duxbury,VT,
milton,VT,
middletown springs,VT,
canton new york 13617,NY,
sedalia,MO,
independence,MO,
pahrump,NV,
colorado springs,CO,
fargo,ND,
"taos, nm",NM,
kissimmee,FL,
el reno,OK,
cocoa beach,FL,
gretna,LA,
ft myers,FL,
everglades national park,FL,
homestead,FL,
skidaway island,GA,
"galveston, moody gardens",TX,
desert botanical gardens,AZ,
rio salado restoration habitat,AZ,
mount pleasant,SC,
milton,FL,
sandia,TX,
newport beach,CA,
oakton,VA,
pinellas park,FL,
malibu,CA,
imperial beach,CA,
auburndale,FL,
richmond,TX,
farmington,ME,
sinking spring,PA,
irmo,SC,
pottstown,PA,
dunnellon,FL,
bethany,OK,
huntsville,AL,
pascagoula,MS,
homer,NY,
yuma,AZ,
mastic,NY,
laurence harbor,NJ,
davenport,FL,
benton,AR,
harlingen,TX,
albany,NY,
johns creek,GA,
homosassa,FL,
pollock,LA,
ventura,CA,
santa paula,CA,
hogansville,GA,
bonita springs,FL,
playa del rey/westchester,CA,
la jolla,CA,
westerville,OH,
mountain view,CA,
chandler,AZ,
nederland,TX,
near wickenburg,AZ,
mustang,OK,
boerne,TX,
shelton,CT,
los alamitos,CA,
tucker,GA,
el cajon,CA,
"hilton head, sc",SC,
weatherford,TX,
oxnard,CA,
de queen,AR,
"hudson, 34667",FL,
thousand oaks,CA,
monterey,CA,
boone,IA,
molino,FL,
west cape may,NJ,
cameron,TX,
brookshire,TX,
atlantic beach,FL,
gulf shores,AL,
crowley,LA,
live oak,FL,
acton,TX,
conway,SC,
greenville,SC,
huntington woods,MI,
atlantic city,NJ,
stroudsburg,PA,
landrum,SC,
saxapahaw,NC,
greenville,NC,
randallstown,MD,
cape may,NJ,
bayville,NJ,
saline,MI,
lake ozark,MO,
carbondale,IL,
hanover,MD,
bearsville,NY,
saginaw,TX,
southaven,MS,
moyock,NC,
wyoming,PA,
yosemite,CA,
surfside,TX,
portsmouth,NH,
heath,TX,
arlington,TX,
roanoke,VA,
ocean city,MD,
the woodlands,TX,
palm desert,CA,
winslow,IL,
cordova,TN,
sandusky,OH,
manhattan beach,CA,
covina,CA,
bristol,TN,
mountain top,PA,
milanville,PA,
hawthorn woods,IL,
comfort,TX,
cornwall,NY,
seymour,IN,
claremore,OK,
mesa,AZ,
onley,VA,
bastrop,TX,
havre de grace,MD,
portsmouth,VA,
bellefonte,PA,
dalworthington gardens,TX,
southlake,TX,
blairsville,PA,
mequon,WI,
horseshoe bay,TX,
new braunsfel,TX,
centralia,IL,
lago vista,TX,
glendale,AZ,
rocheport,MO,
bloomington,IN,
pitt county,NC,
madison,NJ,
sugar grove,NC,
laredo,TX,
eagleville,PA,
belton,TX,
connellsville,PA,
ellerslie,GA,
flowery branch,GA,
pekin,IL,
monterey,TN,
schiller park,IL,
pleasant hope,MO,
seaford,VA,
mandeville,LA,
evanston,IL,
assateague island,VA,
"orange beach, alabama",AL,
advance,NC,
webster groves,MO,
statesville,NC,
salado,TX,
aledo,TX,
morris,IL,
tyaskin,MD,
round rock,TX,
campbell hall,NY,
nescopeck,PA,
riverton,WY,
stony brook,NY,
cadiz,KY,
franklin,KY,
boulder city,NV,
fox point,WI,
prairie view,IL,
budd lake,NJ,
s scottsdale,AZ,
madison,GA,
uvalde,TX,
copperas cove,TX,
osage beach,MO,
lapeer,MI,
atlanta/buckhead,GA,
clay,WV,
hartford,CT,
e. mesa,AZ,
s. tempe,AZ,
knoxville,TN,
englewood,FL,
sweet briar,VA,
fort wayne,IN,
brooklyn park,MN,
vernon hills,IL,
westland,MI,
mission hills,KS,
ocean springs,MS,
braidwood,IL,
palos park,IL,
fair oaks ranch,TX,
chestertown,MD,
edisto beach,GA,
spinnerstown,PA,
paducah,KY,
liberty,TX,
amana,IA,
nanuet,NY,
harrisville,MI,
leesburg,GA,
cherokee,OK,
mer rouge,LA,
durant,OK,
destin,FL,
anderson,SC,
eufaula,AL,
schroon lake,NY,
rumson,NJ,
kellogg,MN,
dover,FL,
piedmont,SC,
hudson,WI,
tinley park,IL,
magnolia,TX,
oakland,NJ,
pleasantville,NY,
louisburg,NC,
"swall meadows, bishop",CA,
prescott,AZ,
ludlow,MA,
oswego,IL,
brewster,MA,
cincinnati,OH,
rankin,TX,
ruckersville,VA,
west blocton,AL,
dearing,GA,
ship bottom,NJ,
"manassas, va",VA,
beaver,WV,
"grand rapids, mn",MN,
tifton,GA,
decatur,GA,
howell,MI,
wayne,MI,
highlands,NJ,
tomball,TX,
wakefield,RI,
s. phoenix,AZ,
swan point,MD,
blue ash,OH,
warrington,PA,
charlestown,RI,
point lookout,NY,
woodbridge,CT,
davidsonville,MD,
beech grove,IN,
burbank,IL,
rocksprings,TX,
marshall,MN,
basking ridge,NJ,
mountainville,NY,
mccordsville,IN,
bolton landing,NY,
grant,MN,
whitinsville,MA,
lakewood,NJ,
alamo,MI,
waretown,NJ,
"pomona, in galloway twp., n.j.",NJ,
"oceanville, in galloway twp., n.j.",NJ,
arroyo grande,CA,
east grand rapids,MI,
"west point ,new york",NY,
denton,NE,
sterling heights,MI,
bala cynwyd,PA,
oceanville,NJ,
long island,NY,
broxz,NY,
waxhaw,NC,
little falls,MN,
sioux falls,SD,
cromwell,CT,
ellenvile,NY,
montclair,NJ,
marble falls,TX,
chamberlain,SD,
forestburg,TX,
new carlisle,IN,
bemidji,MN,
patchogue,NY,
cantonment,FL,
taylor,MI,
gilbert,SC,
croton on hudson,NY,
"fair oaks ranch,",TX,
jonesboro,AR,
brownsburg,IN,
grosse pointe,MI,
st. michael,MN,
ellicottville,NY,
new providence,NJ,
keene,NH,
needham,MA,
west lake hills,TX,
picture rocks,PA,
bloomfield,NJ,
riverhead,NY,
warwick,NY,
lewes,DE,
volente (near austin),TX,
keller,TX,
plano,TX,
mechanicsville,VA,
jefferson city,MO,
pine point,ME,
hartley,IA,
emerson,NJ,
murphy,NC,
hamden,NY,
crozet,VA,
quakertown,PA,
primghar,IA,
cortland,NY,
laguna beach,FL,
edinburg,TX,
broomfield,CO,
cedar park,TX,
osceola,WI,
grayson,LA,
bath,ME,
fredon township,NJ,
norwalk,CT,
bella vista,AR,
kalona,IA,
roland,OK,
deland,FL,
jacksboro,TX,
seymour,TX,
boston,MA,
caddo mills,TX,
bay city state park,MI,
ipswich,MA,
charlotte,VT,
killeen,TX,
ennis,TX,
brooklyn,NY,
mathis,TX,
burlington,WI,
conyers,GA,
darien,IL,
byram township,NJ,
blanchard,OK,
green bay,WI,
saint michaels,MD,
tangier island,VA,
gray court,SC,
kehma,TX,
chalk mountain,TX,
greenfield,MA,
elmwood park,NJ,
byron,GA,
granbury,TX,
seguin,TX,
ithaca,NY,
harrisburg,PA,
falls lake state recreation area,NC,
rehoboth beach,DE,
west valley,NY,
long beach twp,NJ,
columbia,SC,
navarre beach,FL,
carrollton,TX,
cleveland,GA,
tucson,AZ,
lakeway,TX,
ft. worth,TX,
cedar hill,TX,
cold spring,MN,
cheshire,CT,
prairie city,IA,
jonesboro (henry county),GA,
st. paul,MN,
eglin air force base,FL,
miramar beach,FL,
frisco,TX,
mechanicville,NY,
south riding,VA,
melrose,MA,
lincroft,NJ,
san clemente,CA,
mcclure,PA,
new york city,NY,
north east,MD,
new york,NY,
montgomery,TX,
narragansett,RI,
elk neck state park,MD,
seagrove beach,FL,
paradise,TX,
bryson city,NC,
memphis,TN,
euless,TX,
toccoa,GA,
london,AR,
dublin,PA,
hendersonville,NC,
denison,TX,
calera,AL,
grand junction,CO,
corinth,MS,
channahon,IL,
candler,NC,
selma,AL,
ball ground,GA,
west allis,WI,
bald head island,NC,
spraggs,PA,
aubrey,TX,
breckenridge,TX,
clifton park,NY,
"desert botanical garden, phoenix",AZ,
greensboro,NC,
byron,MN,
lemont,IL,
lamar,AR,
jackson,KY,
greer,SC,
water valley,TX,
north perry,OH,
harleysville,PA,
eastlake,OH,
rogers,AR,
muskegon,MI,
springfield,MO,
st. clair shores,MI,
fort dodge,IA,
delancey,NY,
marietta,NY,
north tonanwanda,NY,
marne,MI,
bridgewater,MA,
hutchinson,KS,
richmondville,NY,
jersey village,TX,
bloomingdale,NJ,
dickens,TX,
kingston,NY,
fort scott,KS,
wayne,PA,
charlottesville,VA,
allen,TX,
fairport,NY,
keysville,VA,
laramie,WY,
canandaigua,NY,
huntington,WV,
lebanon,PA,
elon,NC,
edisto beach,SC,
grants pass,OR,
sacramento,CA,
olathe,KS,
"asu polytech campus, mesa",AZ,
"rio salado restoration habitat, pho",AZ,
carrizo springs,TX,
lutz,FL,
ponca city,OK,
highland,IL,
pendleton,NY,
eldora,IA,
astoria,NY,
rochester,MN,
westchester,NY,
eagan,MN,
prettyboy reservoir,MD,
humbird,WI,
roscoe,NY,
winona,MN,
essex,VT,
danville,PA,
the colony,TX,
"marble falls, tx",TX,
newton,NJ,
schuylkill haven,PA,
madison,WI,
berryville,VA,
monterey park,CA,
carmel,NY,
stillwater,OK,
wilmington,IL,
brevard,NC,
danville,IL,
marlboro,NY,
lafayette,LA,
hackensack,MN,
dearborn,MI,
redding,CT,
etowah,NC,
ft. leavenworth,KS,
baltimore,MD,
rutland,MA,
broadlands,VA,
boise,ID,
lenexa,KS,
tuttle,OK,
fairfield,IA,
"mcclintock & salt river, tempe",AZ,
macedon,NY,
allentown,PA,
fishers,IN,
marion,KY,
saugerties,NY,
amarillo,TX,
salisbury,CT,
chesterfield,MA,
newtown square,PA,
elizabethtown,KY,
swannanoa,NC,
harpers ferry,VA,
wyncote,PA,
charleston,WV,
chambersburg,PA,
tipton,IN,
bluffton,SC,
union,KY,
blowing rock,NC,
new paltz,NY,
south bend,IN,
kenmore,NY,
ellettsville,IN,
beaver falls,PA,
ridgefield,CT,
scottsdale,AZ,
kaiser,MO,
cub run,KY,
rock port,MO,
gleason,WI,
alexander,NC,
marshfield,MO,
pottsville,AR,
east lansing,MI,
hartsville,TN,
little silver,NJ,
"oklahoma city, ok",OK,
fort polk,LA,
saugatuck,MI,
loudonville,NY,
new brighton,PA,
connersville,IN,
south haven,MI,
waynesville,MO,
woodlawn,VA,
canelo marsh,AZ,
south saint paul,MN,
terrell,TX,
monroe,VA,
willow springs,MO,
old bridge,NJ,
manalapan,NJ,
dothan,AL,
wauwatosa,WI,
hardy,VA,
ringoes,NJ,
scott city,KS,
st joseph,MI,
hinesville,GA,
hanover,OH,
st michaels,MD,
vicksburg,MI,
milton,CT,
larchmont,NY,
lancaster,SC,
alpine,TX,
morgantown,IN,
bluffton,OH,
woodbine,GA,
trafalgar,IN,
lansing,IL,
independence,KS,
parksley,VA,
hendersonville,TN,
mesquite wash,AZ,
ft. leonard wood,MO,
"kismet, fire island",NY,
lakeville,NY,
moravian falls,NC,
trumbull,CT,
triangle,VA,
belle,MO,
herndon,VA,
kirksville,MO,
macon,MO,
columbia,MO,
atchison,KS,
waynesville,NC,
levittown,NY,
greenbush,MI,
wautoma,WI,
weschester,NY,
napoleon,OH,
mullica hill,NJ,
newnan,GA,
"queens, new york city",NY,
pontiac,MI,
lubec,ME,
canyon city,CO,
erie,PA,
raytown,MO,
sound beach,NY,
mosinee,WI,
delran,NJ,
la grange,KY,
richland springs,TX,
south salem,NY,
altus,OK,
heislerville,NJ,
honeoye falls,NY,
cuba,MO,
endicott,NY,
maine,NY,
oxford,NY,
gypsum,KS,
trumansburg,NY,
south burlington,VT,
congaree national park,SC,
barbourville,KY,
champion,MI,
southfield,MI,
columbia,MD,
riner,VA,
wellfleet,MA,
hassayampa preserve,AZ,
plant city,FL,
new smyrna beach,FL,
shelburne,VT,
de pere,WI,
kress,TX,
oxford,OH,
wilson,TX,
weaverville,NC,
alexandria bay,NY,
fineview,NY,
carnegie,PA,
springfield,IL,
troy,MI,
middlfield,CT,
wildwood crest,NJ,
clinton,NC,
suffolk,VA,
lake view,NY,
watertown,MA,
new bloomfield,PA,
aberdeen,SD,
russell,PA,
princeton,MA,
duluth,GA,
margate,NJ,
new windsor,NY,
nottingham,PA,
taylorville,IL,
tarboro,NC,
kilgore,TX,
akron,OH,
clear lake,IA,
richmond,VA,
long neck,DE,
bowling green,KY,
falmouth,VA,
goodman,MO,
lykens,PA,
west olive,MI,
jackson,MI,
seaside heights,NJ,
brigantine,NJ,
morgan city,LA,
oakwood,GA,
nags head,NC,
bullhead city,AZ,
syracuse,NY,
clayton,NY,
appleton,WI,
wantage,NJ,
lagrange,KY,
fairfax station,VA,
brandon,SD,
beaver,OH,
cottonwood,AZ,
leavenworth,KS,
columbia,LA,
suches,GA,
sailors haven,NY,
"dale hollow lake, tn",TN,
souderton,PA,
ft. montgomery,NY,
