Town,State/Province,County
homer glen,IL,Will
stockton,IL,Jo Daviess
cross hill/lake greenwood,SC,Laurens
eden prairie,MN,Hennepin
chicopee,MA,Hampden
jackson,NJ,Ocean
burlington,VT,Chittenden
tupper lake,NY,Franklin
ledgewood,NJ,Morris
wakefield,MA,Middlesex
newport,RI,Newport
monroe,LA,Ouachita
plum borough,PA,Allegheny
moultonborough,NH,Carroll
livermore,ME,Androscoggin
wilderville,OR,Josephine
eagle pass,TX,Maverick
norwich,VT,Windsor
duxbury,VT,Washington
milton,VT,Chittenden
middletown springs,VT,Rutland
canton new york 13617,NY,St. Lawrence
sedalia,MO,Pettis
independence,MO,Jackson
pahrump,NV,Nye
colorado springs,CO,El Paso
fargo,ND,Cass
"taos, nm",NM,Taos
kissimmee,FL,Osceola
el reno,OK,Canadian
cocoa beach,FL,Brevard
gretna,LA,Jefferson
ft myers,FL,Lee
everglades national park,FL,Miami-Dade
homestead,FL,Miami-Dade
skidaway island,GA,Chatham
"galveston, moody gardens",TX,Galveston
desert botanical gardens,AZ,Maricopa
rio salado restoration habitat,AZ,Maricopa
mount pleasant,SC,Charleston
milton,FL,Santa Rosa
sandia,TX,Jim Wells
newport beach,CA,Orange
oakton,VA,Fairfax
pinellas park,FL,Pinellas
malibu,CA,Los Angeles
imperial beach,CA,San Diego
auburndale,FL,Polk
richmond,TX,Fort Bend
farmington,ME,Franklin
sinking spring,PA,Berks
irmo,SC,Richland
pottstown,PA,Montgomery
dunnellon,FL,Marion
bethany,OK,Oklahoma
huntsville,AL,Madison
pascagoula,MS,Jackson
homer,NY,Cortland
yuma,AZ,Yuma
mastic,NY,Suffolk
laurence harbor,NJ,Middlesex
davenport,FL,Polk
benton,AR,Saline
harlingen,TX,Cameron
albany,NY,Albany
johns creek,GA,Fulton
homosassa,FL,Citrus
pollock,LA,Grant
ventura,CA,Ventura
santa paula,CA,Ventura
hogansville,GA,Troup
bonita springs,FL,Lee
playa del rey/westchester,CA,Los Angeles
la jolla,CA,San Diego
westerville,OH,Delaware
mountain view,CA,Santa Clara
chandler,AZ,Maricopa
nederland,TX,Jefferson
near wickenburg,AZ,Maricopa
mustang,OK,Canadian
boerne,TX,Kendall
shelton,CT,Fairfield
los alamitos,CA,Orange
tucker,GA,DeKalb
el cajon,CA,San Diego
"hilton head, sc",SC,Beaufort
weatherford,TX,Parker
oxnard,CA,Ventura
de queen,AR,Sevier
"hudson, 34667",FL,Pasco
thousand oaks,CA,Ventura
monterey,CA,Monterey
boone,IA,Boone
molino,FL,Escambia
west cape may,NJ,Cape May
cameron,TX,Milam
brookshire,TX,Waller
atlantic beach,FL,Duval
gulf shores,AL,Baldwin
crowley,LA,Acadia
live oak,FL,Suwannee
acton,TX,Hood
conway,SC,Horry
greenville,SC,Greenville
huntington woods,MI,Oakland
atlantic city,NJ,Atlantic
stroudsburg,PA,Monroe
landrum,SC,Spartanburg
saxapahaw,NC,Alamance
greenville,NC,Pitt
randallstown,MD,Baltimore
cape may,NJ,Cape May
bayville,NJ,Ocean
saline,MI,Washtenaw
lake ozark,MO,Camden
carbondale,IL,Jackson
hanover,MD,Anne Arundel
bearsville,NY,Ulster
saginaw,TX,Tarrant
southaven,MS,DeSoto
moyock,NC,Currituck
wyoming,PA,Luzerne
yosemite,CA,Mariposa
surfside,TX,Brazoria
portsmouth,NH,Rockingham
heath,TX,Rockwall
arlington,TX,Tarrant
roanoke,VA,Roanoke
ocean city,MD,Worcester
the woodlands,TX,Montgomery
palm desert,CA,Riverside
winslow,IL,Stephenson
cordova,TN,Shelby
sandusky,OH,Erie
manhattan beach,CA,Los Angeles
covina,CA,Los Angeles
bristol,TN,Sullivan
mountain top,PA,Luzerne
milanville,PA,Wayne
hawthorn woods,IL,Lake
comfort,TX,Kendall
cornwall,NY,Orange
seymour,IN,Jackson
claremore,OK,Rogers
mesa,AZ,Maricopa
onley,VA,Accomack
bastrop,TX,Bastrop
havre de grace,MD,Harford
portsmouth,VA,NULL
bellefonte,PA,Centre
dalworthington gardens,TX,Tarrant
southlake,TX,Tarrant
blairsville,PA,Indiana
mequon,WI,Ozaukee
horseshoe bay,TX,Burnet
new braunsfel,TX,Comal
centralia,IL,Marion
lago vista,TX,Travis
glendale,AZ,Maricopa
rocheport,MO,Boone
bloomington,IN,Monroe
pitt county,NC,Pitt
madison,NJ,Morris
sugar grove,NC,Watauga
laredo,TX,Webb
eagleville,PA,Montgomery
belton,TX,Bell
connellsville,PA,Fayette
ellerslie,GA,Harris
flowery branch,GA,Hall
pekin,IL,Tazewell
monterey,TN,Putnam
schiller park,IL,Cook
pleasant hope,MO,Polk
seaford,VA,Northampton
mandeville,LA,St. Tammany
evanston,IL,Cook
assateague island,VA,Accomack
"orange beach, alabama",AL,Baldwin
advance,NC,Davie
webster groves,MO,St. Louis
statesville,NC,Iredell
salado,TX,Bell
aledo,TX,Parker
morris,IL,Grundy
tyaskin,MD,Wicomico
round rock,TX,Williamson
campbell hall,NY,NULL
nescopeck,PA,Luzerne
riverton,WY,Fremont
stony brook,NY,Suffolk
cadiz,KY,Trigg
franklin,KY,Simpson
boulder city,NV,Clark
fox point,WI,Milwaukee
prairie view,IL,NULL
budd lake,NJ,Morris
s scottsdale,AZ,Maricopa
madison,GA,Morgan
uvalde,TX,Uvalde
copperas cove,TX,Coryell
osage beach,MO,Camden
lapeer,MI,Lapeer
atlanta/buckhead,GA,Fulton
clay,WV,Clay
hartford,CT,Hartford
e. mesa,AZ,Maricopa
s. tempe,AZ,Maricopa
knoxville,TN,Knox
englewood,FL,Sarasota
sweet briar,VA,Amherst
fort wayne,IN,Allen
brooklyn park,MN,Hennepin
vernon hills,IL,Lake
westland,MI,Wayne
mission hills,KS,Johnson
ocean springs,MS,Jackson
braidwood,IL,Will
palos park,IL,Cook
fair oaks ranch,TX,Kendall
